"Implementation"	"Dataset"	"Category"	"Test"	"proc.real.mean"	"proc.real.sd"	"Elements"	"Attributes"	"XMLSize"	"PixelSize"	"XMLComplexity"	"proc.real.sdratio"	"ItemRate"	"ItemRateSD"	"DataRate"	"DataRateSD"
"C++/Linux"	"5D"	"metadata"	"read"	102	42.1276256404899	NA	NA	NA	NA	NA	0.413015937651862	NA	NA	NA	NA
"C++/Linux"	"5D"	"metadata"	"write"	87.5	4.44261658319319	NA	NA	NA	NA	NA	0.0507727609507793	NA	NA	NA	NA
"C++/Linux"	"Plate"	"metadata"	"read"	1442.5	90.9525613770862	NA	NA	NA	NA	NA	0.0630520356166975	NA	NA	NA	NA
"C++/Linux"	"Plate"	"metadata"	"write"	1262	93.5048549260243	NA	NA	NA	NA	NA	0.0740925950285454	NA	NA	NA	NA
"C++/Linux"	"ROI"	"metadata"	"read"	2366.5	54.219340111304	NA	NA	NA	NA	NA	0.0229111937930716	NA	NA	NA	NA
"C++/Linux"	"ROI"	"metadata"	"write"	2112.5	110.733202361637	NA	NA	NA	NA	NA	0.0524180839581712	NA	NA	NA	NA
"C++/Windows"	"5D"	"metadata"	"read"	137.65	10.6882867515898	NA	NA	NA	NA	NA	0.0776482873344702	NA	NA	NA	NA
"C++/Windows"	"5D"	"metadata"	"write"	114.25	0.550119604220181	NA	NA	NA	NA	NA	0.00481505124043922	NA	NA	NA	NA
"C++/Windows"	"Plate"	"metadata"	"read"	2190.55	24.6821371590234	NA	NA	NA	NA	NA	0.0112675525137629	NA	NA	NA	NA
"C++/Windows"	"Plate"	"metadata"	"write"	1452	9.42560901285206	NA	NA	NA	NA	NA	0.0064914662622948	NA	NA	NA	NA
"C++/Windows"	"ROI"	"metadata"	"read"	3274.45	21.4414134451606	NA	NA	NA	NA	NA	0.00654809615207459	NA	NA	NA	NA
"C++/Windows"	"ROI"	"metadata"	"write"	2517.1	17.6870455121077	NA	NA	NA	NA	NA	0.00702675519928	NA	NA	NA	NA
"JNI/Linux"	"5D"	"metadata"	"read"	64.5	163.303882056542	NA	NA	NA	NA	NA	2.53184313265956	NA	NA	NA	NA
"JNI/Linux"	"5D"	"metadata"	"write"	131.5	276.9243674059	NA	NA	NA	NA	NA	2.10588872552015	NA	NA	NA	NA
"JNI/Linux"	"Plate"	"metadata"	"read"	355.5	764.078220024488	NA	NA	NA	NA	NA	2.14930582285369	NA	NA	NA	NA
"JNI/Linux"	"Plate"	"metadata"	"write"	1196	671.928880948446	NA	NA	NA	NA	NA	0.561813445609069	NA	NA	NA	NA
"JNI/Linux"	"ROI"	"metadata"	"read"	332.5	207.158088628493	NA	NA	NA	NA	NA	0.623031845499227	NA	NA	NA	NA
"JNI/Linux"	"ROI"	"metadata"	"write"	3567.5	1177.08773093419	NA	NA	NA	NA	NA	0.329947506919183	NA	NA	NA	NA
"Java/Linux"	"5D"	"metadata"	"read"	55.75	159.797857504905	NA	NA	NA	NA	NA	2.86632928259919	NA	NA	NA	NA
"Java/Linux"	"5D"	"metadata"	"write"	121.05	258.510403944152	NA	NA	NA	NA	NA	2.1355671536072	NA	NA	NA	NA
"Java/Linux"	"Plate"	"metadata"	"read"	213.3	200.655793259056	NA	NA	NA	NA	NA	0.940721018560975	NA	NA	NA	NA
"Java/Linux"	"Plate"	"metadata"	"write"	1159.4	418.597709149564	NA	NA	NA	NA	NA	0.361046842461242	NA	NA	NA	NA
"Java/Linux"	"ROI"	"metadata"	"read"	299.75	169.95072815378	NA	NA	NA	NA	NA	0.566974906267823	NA	NA	NA	NA
"Java/Linux"	"ROI"	"metadata"	"write"	3867.25	452.573910800039	NA	NA	NA	NA	NA	0.11702732194713	NA	NA	NA	NA
"Java/Windows"	"5D"	"metadata"	"read"	48.45	118.364501701979	NA	NA	NA	NA	NA	2.44302377093869	NA	NA	NA	NA
"Java/Windows"	"5D"	"metadata"	"write"	132.7	276.214847727748	NA	NA	NA	NA	NA	2.08149847571777	NA	NA	NA	NA
"Java/Windows"	"Plate"	"metadata"	"read"	227.75	178.875397678766	NA	NA	NA	NA	NA	0.785402404736625	NA	NA	NA	NA
"Java/Windows"	"Plate"	"metadata"	"write"	1381.9	407.72422310339	NA	NA	NA	NA	NA	0.295046112673414	NA	NA	NA	NA
"Java/Windows"	"ROI"	"metadata"	"read"	335.9	195.946260087059	NA	NA	NA	NA	NA	0.583347008297287	NA	NA	NA	NA
"Java/Windows"	"ROI"	"metadata"	"write"	4725.8	506.056643386676	NA	NA	NA	NA	NA	0.10708380451705	NA	NA	NA	NA
