"Implementation"	"Dataset"	"Category"	"Test"	"proc.real.mean"	"proc.real.sd"	"Elements"	"Attributes"	"XMLSize"	"PixelSize"	"XMLComplexity"	"proc.real.sdratio"	"ItemRate"	"ItemRateSD"	"DataRate"	"DataRateSD"
"C++/Linux"	"tubhiswt"	"metadata"	"read"	106.5	4.89360484929593	2603	7805	177	215	10408	0.045949341307943	97.7276995305164	4.4905234209678	1.62301936619718	0.0745766708067957
"C++/Linux"	"tubhiswt"	"metadata"	"write"	84	5.02624689950035	2603	7805	177	215	10408	0.0598362726130994	123.904761904762	7.4139991113945	2.05775669642857	0.123128490658931
"C++/Linux"	"BBBC"	"metadata"	"read"	1487.5	11.1803398874989	37088	93001	2368	3456	130089	0.00751619488235224	87.4547899159664	0.657327244403576	1.5546218487395	0.0116848407834888
"C++/Linux"	"BBBC"	"metadata"	"write"	1417.5	38.234043799514	37088	93001	2368	3456	130089	0.0269728704053009	91.773544973545	2.47539593520648	1.63139329805996	0.0440033600086479
"C++/Linux"	"MitoCheck"	"metadata"	"read"	2460.5	15.0350467767462	55363	179881	3237	122	235244	0.00611056564793588	95.6082097134729	0.584220241935797	1.28475220991668	0.00785056272002659
"C++/Linux"	"MitoCheck"	"metadata"	"write"	2240.5	60.3040541536672	55363	179881	3237	122	235244	0.0269154448353792	104.996206203972	2.82601959600712	1.41090507141263	0.0379751376175635
"C++/Windows"	"tubhiswt"	"metadata"	"read"	176.4	1.84676103375328	2603	7805	177	215	10408	0.0104691668580118	59.0022675736961	0.617704584230082	0.979884141156463	0.0102585705752866
"C++/Windows"	"tubhiswt"	"metadata"	"write"	114.05	5.90695397503298	2603	7805	177	215	10408	0.0517926696627179	91.2582200789128	4.72650684655474	1.51557704953968	0.0784957814752051
"C++/Windows"	"BBBC"	"metadata"	"read"	2179.35	30.9265258313959	37088	93001	2368	3456	130089	0.0141907109144451	59.6916511803978	0.847066965906921	1.06109619840778	0.0150577094040215
"C++/Windows"	"BBBC"	"metadata"	"write"	1451.8	18.7633461273499	37088	93001	2368	3456	130089	0.0129241948803898	89.6053175368508	1.15807658616547	1.59285025485604	0.020586307109038
"C++/Windows"	"MitoCheck"	"metadata"	"read"	3368.1	62.7106135564912	55363	179881	3237	122	235244	0.0186189880218792	69.8447195748345	1.30043799715535	0.938550759330186	0.0174748653458943
"C++/Windows"	"MitoCheck"	"metadata"	"write"	2507.05	16.6906056148204	55363	179881	3237	122	235244	0.00665746818564463	93.8329909654774	0.624690152116546	1.26089739434794	0.00839438428823362
"JACE/Linux"	"tubhiswt"	"metadata"	"read"	607.5	9.10465468000326	2603	7805	177	215	10408	0.0149870858930095	17.1325102880658	0.256766403250111	0.284529320987654	0.00426426537272164
"JACE/Linux"	"tubhiswt"	"metadata"	"write"	1157	16.5751875435925	2603	7805	177	215	10408	0.0143260047913505	8.99567847882455	0.128872132989089	0.149396337510804	0.00214025264698999
"JACE/Linux"	"BBBC"	"metadata"	"read"	1063	30.1050791308325	37088	93001	2368	3456	130089	0.0283208646574153	122.379115710254	3.46588237292427	2.17544684854186	0.0616105357669547
"JACE/Linux"	"BBBC"	"metadata"	"write"	3349.5	36.1975573470744	37088	93001	2368	3456	130089	0.0108068539624046	38.8383340797134	0.419720204542546	0.690401552470518	0.00746106875296634
"JACE/Linux"	"MitoCheck"	"metadata"	"read"	1231	8.5224162622679	55363	179881	3237	122	235244	0.00692316511963274	191.099918765232	1.3230162919601	2.56793892160845	0.0177782651714269
"JACE/Linux"	"MitoCheck"	"metadata"	"write"	8462.5	36.4005494464026	55363	179881	3237	122	235244	0.00430139432158376	27.7984047267356	0.119571900240668	0.373545974889217	0.00160676853523895
"Java/Linux"	"tubhiswt"	"metadata"	"read"	483.1	6.56866564996671	2603	7805	177	215	10408	0.0135969067480164	21.5441937487063	0.292934393362357	0.357796651831919	0.00486492770971108
"Java/Linux"	"tubhiswt"	"metadata"	"write"	1142.4	21.0222939306172	2603	7805	177	215	10408	0.0184018679364646	9.11064425770308	0.167652872446362	0.151305639443277	0.00278430639507752
"Java/Linux"	"BBBC"	"metadata"	"read"	949.85	17.394115762461	37088	93001	2368	3456	130089	0.018312486984746	136.957414328578	2.50803086735656	2.43459493604253	0.0445834880794075
