"Implementation"	"Dataset"	"Category"	"Test"	"proc.real.mean"	"proc.real.sd"	"Elements"	"Attributes"	"XMLSize"	"PixelSize"	"XMLComplexity"	"proc.real.sdratio"	"DataRate"	"DataRateSD"
"C++/Linux"	"5D"	"pixeldata"	"read"	311	27.12543960352	2603	7805	177	215	10408	0.0872200630338263	691.318327974276	60.2968281423558
"C++/Linux"	"5D"	"pixeldata"	"write"	614	31.5227570260965	2603	7805	177	215	10408	0.0513399951565089	350.162866449511	17.9773598675072
"C++/Linux"	"Plate"	"pixeldata"	"read"	3609	280.56146713707	37088	93001	2368	3456	130089	0.0777393923904323	957.605985037407	74.4437074262494
"C++/Linux"	"Plate"	"pixeldata"	"write"	26687.5	1188.67850108739	37088	93001	2368	3456	130089	0.0445406464107688	129.498829039813	5.76796155487089
"C++/Linux"	"ROI"	"pixeldata"	"read"	111	7.88068925652412	55363	179881	3237	122	235244	0.0709972005092263	1099.0990990991	78.0329591182488
"C++/Linux"	"ROI"	"pixeldata"	"write"	152	8.94427190999916	55363	179881	3237	122	235244	0.0588438941447313	802.631578947368	47.2299676687975
"C++/Windows"	"5D"	"pixeldata"	"read"	735.6	6.27778036536716	2603	7805	177	215	10408	0.00853423105677972	292.278412180533	2.49437150245737
"C++/Windows"	"5D"	"pixeldata"	"write"	1813.15	13.2358166391524	2603	7805	177	215	10408	0.00729990162929288	118.578165071836	0.865608940406458
"C++/Windows"	"Plate"	"pixeldata"	"read"	12302.4	909.508797445951	37088	93001	2368	3456	130089	0.0739293794256365	280.920795942255	20.7683001117668
"C++/Windows"	"Plate"	"pixeldata"	"write"	109955.15	16970.0666942677	37088	93001	2368	3456	130089	0.154336260686905	31.4309970929056	4.85094256098003
"C++/Windows"	"ROI"	"pixeldata"	"read"	198.45	5.99539296811354	55363	179881	3237	122	235244	0.0302111008723282	614.764424288234	18.5727100348906
"C++/Windows"	"ROI"	"pixeldata"	"write"	133.05	10.7579835715768	55363	179881	3237	122	235244	0.0808566972685214	916.948515595641	74.1414285363368
"JNI/Linux"	"5D"	"pixeldata"	"read"	3172	126.557663162936	2603	7805	177	215	10408	0.0398983805683909	67.780580075662	2.70433537900506
"JNI/Linux"	"5D"	"pixeldata"	"write"	41207.5	1017.02804908792	2603	7805	177	215	10408	0.024680653985025	5.2174968149002	0.128771233556522
"JNI/Linux"	"Plate"	"pixeldata"	"read"	108490	414.004830889689	37088	93001	2368	3456	130089	0.00381606443810203	31.8554705502811	0.121562528325934
"JNI/Linux"	"Plate"	"pixeldata"	"write"	4241438.33333333	16621.3915382156	37088	93001	2368	3456	130089	0.00391881013749243	0.814817929295212	0.00319311676153266
"JNI/Linux"	"ROI"	"pixeldata"	"read"	1015	80.8181845092329	55363	179881	3237	122	235244	0.0796238271026926	120.197044334975	9.57054867638275
"JNI/Linux"	"ROI"	"pixeldata"	"write"	4408	161.72100732597	55363	179881	3237	122	235244	0.0366880688126065	27.6769509981851	1.01541388274455
"Java/Linux"	"5D"	"pixeldata"	"read"	2777.4	156.158960846413	2603	7805	177	215	10408	0.056224872487367	77.4105278317851	4.35239705652189
"Java/Linux"	"5D"	"pixeldata"	"write"	6058.55	158.635455982378	2603	7805	177	215	10408	0.0261837330685358	35.4870389779733	0.929183155991978
"Java/Linux"	"Plate"	"pixeldata"	"read"	104911.65	610.626018288221	37088	93001	2368	3456	130089	0.00582038332528581	32.9420040577	0.191735091118934
"Java/Linux"	"Plate"	"pixeldata"	"write"	72094.6	590.029294544815	37088	93001	2368	3456	130089	0.00818409831727779	47.9370160871965	0.392321252694544
"Java/Linux"	"ROI"	"pixeldata"	"read"	995.1	88.6933807534344	55363	179881	3237	122	235244	0.0891301183332674	122.600743643855	10.9274187887234
"Java/Linux"	"ROI"	"pixeldata"	"write"	2547.1	75.9431227612931	55363	179881	3237	122	235244	0.0298155246206639	47.8976090455812	1.42809234176946
"Java/Windows"	"5D"	"pixeldata"	"read"	4340.1	238.404543404251	2603	7805	177	215	10408	0.0549306567600404	49.538029077671	2.72115647183444
"Java/Windows"	"5D"	"pixeldata"	"write"	15059.35	499.675186601519	2603	7805	177	215	10408	0.0331803953425293	14.2768446181276	0.473711348673336
"Java/Windows"	"Plate"	"pixeldata"	"read"	155243.5	1292.14674496603	37088	93001	2368	3456	130089	0.0083233548906462	22.2618016213239	0.185292875399442
"Java/Windows"	"Plate"	"pixeldata"	"write"	172099.65	3003.97750841324	37088	93001	2368	3456	130089	0.0174548728507771	20.0813888930047	0.350518089794405
"Java/Windows"	"ROI"	"pixeldata"	"read"	1347.6	140.912963058388	55363	179881	3237	122	235244	0.104565867511419	90.5313149302464	9.4664854826307
"Java/Windows"	"ROI"	"pixeldata"	"write"	5963.8	2107.59854861054	55363	179881	3237	122	235244	0.35339859629943	20.4567557597505	7.22938877033611
