"Implementation"	"Dataset"	"Category"	"Test"	"proc.real.mean"	"proc.real.sd"	"Elements"	"Attributes"	"XMLSize"	"PixelSize"	"XMLComplexity"	"proc.real.sdratio"	"DataRate"	"DataRateSD"
"C++/Linux"	"tubhiswt"	"pixeldata"	"read"	383.5	13.8696943388321	2603	7805	177	215	10408	0.0361660869330694	560.625814863103	20.2756419572619
"C++/Linux"	"tubhiswt"	"pixeldata"	"write"	667.5	52.8030102810137	2603	7805	177	215	10408	0.0791056333797959	322.097378277154	25.4797171185859
"C++/Linux"	"BBBC"	"pixeldata"	"read"	4514	122.018117722868	37088	93001	2368	3456	130089	0.0270310407006796	765.618077093487	20.6954534030901
"C++/Linux"	"BBBC"	"pixeldata"	"write"	28063	2625.56680597382	37088	93001	2368	3456	130089	0.0935597336697367	123.151480597228	11.5220197257104
"C++/Linux"	"MitoCheck"	"pixeldata"	"read"	118	6.95852373938459	55363	179881	3237	122	235244	0.0589705401642762	1033.89830508475	60.9695415257771
"C++/Linux"	"MitoCheck"	"pixeldata"	"write"	188	28.2097407588976	55363	179881	3237	122	235244	0.150051812547328	648.936170212766	97.3740485679468
"C++/Windows"	"tubhiswt"	"pixeldata"	"read"	743.85	11.0132695083321	2603	7805	177	215	10408	0.0148057666308155	289.036768165625	4.27941093718537
"C++/Windows"	"tubhiswt"	"pixeldata"	"write"	1821.45	16.0672108082858	2603	7805	177	215	10408	0.00882110999933336	118.037827005957	1.04122465610183
"C++/Windows"	"BBBC"	"pixeldata"	"read"	11247	153.894016846181	37088	93001	2368	3456	130089	0.0136831169953037	307.28194185116	4.20457476089354
"C++/Windows"	"BBBC"	"pixeldata"	"write"	82947.8	614.151841331219	37088	93001	2368	3456	130089	0.00740407631463666	41.6647578356509	0.308489046646015
"C++/Windows"	"MitoCheck"	"pixeldata"	"read"	199.2	3.38106180768238	55363	179881	3237	122	235244	0.0169732018457951	612.449799196787	10.3952340621837
"C++/Windows"	"MitoCheck"	"pixeldata"	"write"	125.35	5.46062460279331	55363	179881	3237	122	235244	0.0435630203653236	973.274830474671	42.3987912610249
"JACE/Linux"	"tubhiswt"	"pixeldata"	"read"	3662.5	119.246538071783	2603	7805	177	215	10408	0.0325587817260842	58.7030716723549	1.91130049723088
"JACE/Linux"	"tubhiswt"	"pixeldata"	"write"	41906	1044.17885138716	2603	7805	177	215	10408	0.0249171682190417	5.13053023433399	0.127838284901779
"JACE/Linux"	"BBBC"	"pixeldata"	"read"	107371.666666667	835.689336216914	37088	93001	2368	3456	130089	0.00778314579777639	32.187262313149	0.250518155414512
"JACE/Linux"	"BBBC"	"pixeldata"	"write"	4262218.33333333	65908.9828222729	37088	93001	2368	3456	130089	0.0154635397972979	0.81084536964515	0.0125385396429625
"JACE/Linux"	"MitoCheck"	"pixeldata"	"read"	1317	17.8000591365073	55363	179881	3237	122	235244	0.0135156105820101	92.6347760060744	1.25201555884984
"JACE/Linux"	"MitoCheck"	"pixeldata"	"write"	5045	84.7597223114599	55363	179881	3237	122	235244	0.0168007378218949	24.1823587710605	0.406281469627588
"Java/Linux"	"tubhiswt"	"pixeldata"	"read"	3301.8	62.291842838453	2603	7805	177	215	10408	0.0188660254523148	65.1159973347871	1.22848006307096
"Java/Linux"	"tubhiswt"	"pixeldata"	"write"	6465.7	70.903269911976	2603	7805	177	215	10408	0.0109660624390207	33.2523933990133	0.364647822260459
"Java/Linux"	"BBBC"	"pixeldata"	"read"	106224.4	787.896025734628	37088	93001	2368	3456	130089	0.00741727913487511	32.5348978200865	0.241320418756222
"Java/Linux"	"BBBC"	"pixeldata"	"write"	73053.4	1160.30238345555	37088	93001	2368	3456	130089	0.0158829347224845	47.3078597300057	0.751387647952135
"Java/Linux"	"MitoCheck"	"pixeldata"	"read"	1265.3	25.5118135689909	55363	179881	3237	122	235244	0.0201626598980407	96.4198213862325	1.94408006604044
"Java/Linux"	"MitoCheck"	"pixeldata"	"write"	2861.55	25.4133719463634	55363	179881	3237	122	235244	0.00888098126762188	42.6342366899058	0.378633857402411
"Java/Windows"	"tubhiswt"	"pixeldata"	"read"	4804.6	38.7263000529288	2603	7805	177	215	10408	0.00806025476687524	44.7487824168505	0.360686586787282
"Java/Windows"	"tubhiswt"	"pixeldata"	"write"	15550.95	517.34570290647	2603	7805	177	215	10408	0.0332677876854128	13.8255219134522	0.459944527656751
"Java/Windows"	"BBBC"	"pixeldata"	"read"	159620.05	1850.06851864579	37088	93001	2368	3456	130089	0.0115904519428843	21.651415345378	0.250949689056031
"Java/Windows"	"BBBC"	"pixeldata"	"write"	171631.9	1142.01220843322	37088	93001	2368	3456	130089	0.0066538458668419	20.1361168873618	0.133982618125218
"Java/Windows"	"MitoCheck"	"pixeldata"	"read"	1590.95	12.7711640651488	55363	179881	3237	122	235244	0.00802738242254551	76.6837424180521	0.615569725981679
"Java/Windows"	"MitoCheck"	"pixeldata"	"write"	5940.4	2216.82751982006	55363	179881	3237	122	235244	0.373178156322817	20.5373375530267	7.66408576381788
