test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	NIRHTa-001.ome.tiff	1740	1410	80
C++	metadata.write	NIRHTa-001.ome.tiff	1420	1360	50
C++	metadata.read	NIRHTa-001.ome.tiff	1460	1430	30
C++	metadata.write	NIRHTa-001.ome.tiff	1300	1290	10
C++	metadata.read	NIRHTa-001.ome.tiff	1530	1430	90
C++	metadata.write	NIRHTa-001.ome.tiff	1290	1290	0
C++	metadata.read	NIRHTa-001.ome.tiff	1440	1410	40
C++	metadata.write	NIRHTa-001.ome.tiff	1300	1290	10
C++	metadata.read	NIRHTa-001.ome.tiff	1430	1410	30
C++	metadata.write	NIRHTa-001.ome.tiff	1320	1310	10
C++	metadata.read	NIRHTa-001.ome.tiff	1420	1390	30
C++	metadata.write	NIRHTa-001.ome.tiff	1230	1220	0
C++	metadata.read	NIRHTa-001.ome.tiff	1440	1400	40
C++	metadata.write	NIRHTa-001.ome.tiff	1230	1220	0
C++	metadata.read	NIRHTa-001.ome.tiff	1400	1380	20
C++	metadata.write	NIRHTa-001.ome.tiff	1230	1230	10
C++	metadata.read	NIRHTa-001.ome.tiff	1430	1400	30
C++	metadata.write	NIRHTa-001.ome.tiff	1240	1240	0
C++	metadata.read	NIRHTa-001.ome.tiff	1430	1420	20
C++	metadata.write	NIRHTa-001.ome.tiff	1220	1210	0
C++	metadata.read	NIRHTa-001.ome.tiff	1430	1400	30
C++	metadata.write	NIRHTa-001.ome.tiff	1200	1210	0
C++	metadata.read	NIRHTa-001.ome.tiff	1440	1430	10
C++	metadata.write	NIRHTa-001.ome.tiff	1250	1240	20
C++	metadata.read	NIRHTa-001.ome.tiff	1440	1420	20
C++	metadata.write	NIRHTa-001.ome.tiff	1180	1160	10
C++	metadata.read	NIRHTa-001.ome.tiff	1430	1400	20
C++	metadata.write	NIRHTa-001.ome.tiff	1130	1130	10
C++	metadata.read	NIRHTa-001.ome.tiff	1390	1380	20
C++	metadata.write	NIRHTa-001.ome.tiff	1140	1140	0
C++	metadata.read	NIRHTa-001.ome.tiff	1420	1400	30
C++	metadata.write	NIRHTa-001.ome.tiff	1130	1130	0
C++	metadata.read	NIRHTa-001.ome.tiff	1410	1390	20
C++	metadata.write	NIRHTa-001.ome.tiff	1110	1110	0
C++	metadata.read	NIRHTa-001.ome.tiff	1420	1400	20
C++	metadata.write	NIRHTa-001.ome.tiff	1120	1110	0
C++	metadata.read	NIRHTa-001.ome.tiff	1420	1390	30
C++	metadata.write	NIRHTa-001.ome.tiff	1100	1110	0
C++	metadata.read	NIRHTa-001.ome.tiff	1420	1400	20
C++	metadata.write	NIRHTa-001.ome.tiff	1120	1120	0
