test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	metadata.read	NIRHTa-001.ome.tiff	3592	1052	3600	2260	80
JACE	metadata.write	NIRHTa-001.ome.tiff	4038	2654	4040	5890	450
JACE	metadata.read	NIRHTa-001.ome.tiff	277	238	270	820	190
JACE	metadata.write	NIRHTa-001.ome.tiff	1231	1198	1240	2190	50
JACE	metadata.read	NIRHTa-001.ome.tiff	199	186	200	410	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1097	983	1090	2040	260
JACE	metadata.read	NIRHTa-001.ome.tiff	182	165	190	380	20
JACE	metadata.write	NIRHTa-001.ome.tiff	985	945	980	1480	10
JACE	metadata.read	NIRHTa-001.ome.tiff	179	162	180	410	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1094	996	1100	2420	10
JACE	metadata.read	NIRHTa-001.ome.tiff	171	152	170	420	0
JACE	metadata.write	NIRHTa-001.ome.tiff	1078	972	1080	2380	20
JACE	metadata.read	NIRHTa-001.ome.tiff	172	152	170	390	10
JACE	metadata.write	NIRHTa-001.ome.tiff	983	942	980	1500	30
JACE	metadata.read	NIRHTa-001.ome.tiff	194	154	200	440	30
JACE	metadata.write	NIRHTa-001.ome.tiff	985	953	980	1370	20
JACE	metadata.read	NIRHTa-001.ome.tiff	161	152	160	240	0
JACE	metadata.write	NIRHTa-001.ome.tiff	1019	982	1020	1490	10
JACE	metadata.read	NIRHTa-001.ome.tiff	210	154	210	730	20
JACE	metadata.write	NIRHTa-001.ome.tiff	1023	984	1030	1460	20
JACE	metadata.read	NIRHTa-001.ome.tiff	169	153	170	320	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1024	987	1020	1530	10
JACE	metadata.read	NIRHTa-001.ome.tiff	209	155	210	710	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1024	985	1020	1500	20
JACE	metadata.read	NIRHTa-001.ome.tiff	169	152	170	330	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1024	985	1030	1530	10
JACE	metadata.read	NIRHTa-001.ome.tiff	171	153	170	320	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1083	989	1080	2170	60
JACE	metadata.read	NIRHTa-001.ome.tiff	171	153	180	330	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1026	988	1020	1520	10
JACE	metadata.read	NIRHTa-001.ome.tiff	170	154	170	330	0
JACE	metadata.write	NIRHTa-001.ome.tiff	1080	982	1080	2270	40
JACE	metadata.read	NIRHTa-001.ome.tiff	168	151	170	330	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1031	993	1030	1500	10
JACE	metadata.read	NIRHTa-001.ome.tiff	170	152	170	330	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1059	979	1060	1910	80
JACE	metadata.read	NIRHTa-001.ome.tiff	176	159	180	340	10
JACE	metadata.write	NIRHTa-001.ome.tiff	1010	973	1010	1470	10
JACE	metadata.read	NIRHTa-001.ome.tiff	169	153	170	310	0
JACE	metadata.write	NIRHTa-001.ome.tiff	1026	989	1030	1490	10
