test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	NIRHTa-001.ome.tiff	1061	918	900	18
Java	metadata.write	NIRHTa-001.ome.tiff	2911	2592	2560	32
Java	metadata.read	NIRHTa-001.ome.tiff	246	246	230	16
Java	metadata.write	NIRHTa-001.ome.tiff	1362	1332	1310	22
Java	metadata.read	NIRHTa-001.ome.tiff	203	203	200	3
Java	metadata.write	NIRHTa-001.ome.tiff	1098	1098	1090	8
Java	metadata.read	NIRHTa-001.ome.tiff	171	171	170	1
Java	metadata.write	NIRHTa-001.ome.tiff	1072	1055	1050	5
Java	metadata.read	NIRHTa-001.ome.tiff	167	167	170	7
Java	metadata.write	NIRHTa-001.ome.tiff	1062	1062	1060	2
Java	metadata.read	NIRHTa-001.ome.tiff	175	161	160	1
Java	metadata.write	NIRHTa-001.ome.tiff	1073	1073	1070	3
Java	metadata.read	NIRHTa-001.ome.tiff	157	157	150	7
Java	metadata.write	NIRHTa-001.ome.tiff	1049	1050	1050	0
Java	metadata.read	NIRHTa-001.ome.tiff	170	158	160	-1
Java	metadata.write	NIRHTa-001.ome.tiff	1044	1044	1040	4
Java	metadata.read	NIRHTa-001.ome.tiff	158	158	160	-1
Java	metadata.write	NIRHTa-001.ome.tiff	1042	1027	1020	7
Java	metadata.read	NIRHTa-001.ome.tiff	156	156	150	6
Java	metadata.write	NIRHTa-001.ome.tiff	1045	1046	1050	-3
Java	metadata.read	NIRHTa-001.ome.tiff	164	165	150	15
Java	metadata.write	NIRHTa-001.ome.tiff	1064	1039	1040	0
Java	metadata.read	NIRHTa-001.ome.tiff	158	158	150	8
Java	metadata.write	NIRHTa-001.ome.tiff	1036	1037	1040	-2
Java	metadata.read	NIRHTa-001.ome.tiff	170	160	150	10
Java	metadata.write	NIRHTa-001.ome.tiff	1041	1042	1040	2
Java	metadata.read	NIRHTa-001.ome.tiff	157	157	160	-2
Java	metadata.write	NIRHTa-001.ome.tiff	996	991	990	1
Java	metadata.read	NIRHTa-001.ome.tiff	156	157	150	7
Java	metadata.write	NIRHTa-001.ome.tiff	1034	1034	1030	4
Java	metadata.read	NIRHTa-001.ome.tiff	157	158	160	-1
Java	metadata.write	NIRHTa-001.ome.tiff	1046	1041	1040	1
Java	metadata.read	NIRHTa-001.ome.tiff	157	157	150	7
Java	metadata.write	NIRHTa-001.ome.tiff	1037	1038	1040	-1
Java	metadata.read	NIRHTa-001.ome.tiff	168	161	160	1
Java	metadata.write	NIRHTa-001.ome.tiff	1057	1058	1050	8
Java	metadata.read	NIRHTa-001.ome.tiff	158	158	160	-1
Java	metadata.write	NIRHTa-001.ome.tiff	1072	1058	1050	8
Java	metadata.read	NIRHTa-001.ome.tiff	157	157	160	-2
Java	metadata.write	NIRHTa-001.ome.tiff	1047	1047	1050	-1
