test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	NIRHTa-001.ome.tiff	2205	2074	124
C++	metadata.write	NIRHTa-001.ome.tiff	1406	1310	93
C++	metadata.read	NIRHTa-001.ome.tiff	2150	1981	171
C++	metadata.write	NIRHTa-001.ome.tiff	1408	1357	62
C++	metadata.read	NIRHTa-001.ome.tiff	2145	1965	171
C++	metadata.write	NIRHTa-001.ome.tiff	1419	1404	15
C++	metadata.read	NIRHTa-001.ome.tiff	2154	1950	202
C++	metadata.write	NIRHTa-001.ome.tiff	1426	1326	93
C++	metadata.read	NIRHTa-001.ome.tiff	2156	2106	46
C++	metadata.write	NIRHTa-001.ome.tiff	1428	1419	15
C++	metadata.read	NIRHTa-001.ome.tiff	2155	1965	187
C++	metadata.write	NIRHTa-001.ome.tiff	1425	1435	0
C++	metadata.read	NIRHTa-001.ome.tiff	2174	1965	202
C++	metadata.write	NIRHTa-001.ome.tiff	1424	1419	15
C++	metadata.read	NIRHTa-001.ome.tiff	2146	1996	156
C++	metadata.write	NIRHTa-001.ome.tiff	1420	1357	62
C++	metadata.read	NIRHTa-001.ome.tiff	2171	1981	202
C++	metadata.write	NIRHTa-001.ome.tiff	1420	1357	46
C++	metadata.read	NIRHTa-001.ome.tiff	2150	1996	156
C++	metadata.write	NIRHTa-001.ome.tiff	1432	1388	46
C++	metadata.read	NIRHTa-001.ome.tiff	2164	1965	202
C++	metadata.write	NIRHTa-001.ome.tiff	1428	1388	31
C++	metadata.read	NIRHTa-001.ome.tiff	2156	2043	109
C++	metadata.write	NIRHTa-001.ome.tiff	1425	1435	0
C++	metadata.read	NIRHTa-001.ome.tiff	2156	1981	171
C++	metadata.write	NIRHTa-001.ome.tiff	1434	1372	62
C++	metadata.read	NIRHTa-001.ome.tiff	2159	2012	140
C++	metadata.write	NIRHTa-001.ome.tiff	1425	1388	46
C++	metadata.read	NIRHTa-001.ome.tiff	2163	2090	78
C++	metadata.write	NIRHTa-001.ome.tiff	1423	1388	31
C++	metadata.read	NIRHTa-001.ome.tiff	2155	1996	156
C++	metadata.write	NIRHTa-001.ome.tiff	1427	1372	46
C++	metadata.read	NIRHTa-001.ome.tiff	2162	2012	156
C++	metadata.write	NIRHTa-001.ome.tiff	1435	1404	31
C++	metadata.read	NIRHTa-001.ome.tiff	2165	2043	124
C++	metadata.write	NIRHTa-001.ome.tiff	1431	1388	46
C++	metadata.read	NIRHTa-001.ome.tiff	2153	2043	109
C++	metadata.write	NIRHTa-001.ome.tiff	1428	1341	93
C++	metadata.read	NIRHTa-001.ome.tiff	2161	1950	202
C++	metadata.write	NIRHTa-001.ome.tiff	1420	1341	78
