test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	NIRHTa-001.ome.tiff	1017	1014	982	31
Java	metadata.write	NIRHTa-001.ome.tiff	3108	2839	2792	46
Java	metadata.read	NIRHTa-001.ome.tiff	276	265	265	0
Java	metadata.write	NIRHTa-001.ome.tiff	1596	1606	1560	46
Java	metadata.read	NIRHTa-001.ome.tiff	228	218	218	0
Java	metadata.write	NIRHTa-001.ome.tiff	1284	1279	1263	15
Java	metadata.read	NIRHTa-001.ome.tiff	190	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1276	1279	1279	0
Java	metadata.read	NIRHTa-001.ome.tiff	197	202	202	0
Java	metadata.write	NIRHTa-001.ome.tiff	1305	1294	1294	0
Java	metadata.read	NIRHTa-001.ome.tiff	180	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1274	1201	1201	0
Java	metadata.read	NIRHTa-001.ome.tiff	178	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1248	1248	1248	0
Java	metadata.read	NIRHTa-001.ome.tiff	183	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1274	1248	1216	31
Java	metadata.read	NIRHTa-001.ome.tiff	177	187	156	31
Java	metadata.write	NIRHTa-001.ome.tiff	1247	1248	1248	0
Java	metadata.read	NIRHTa-001.ome.tiff	178	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1274	1263	1263	0
Java	metadata.read	NIRHTa-001.ome.tiff	177	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1267	1279	1279	0
Java	metadata.read	NIRHTa-001.ome.tiff	177	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1271	1263	1263	0
Java	metadata.read	NIRHTa-001.ome.tiff	177	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1232	1232	1216	15
Java	metadata.read	NIRHTa-001.ome.tiff	181	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1265	1279	1279	0
Java	metadata.read	NIRHTa-001.ome.tiff	178	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1305	1248	1248	0
Java	metadata.read	NIRHTa-001.ome.tiff	177	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1236	1232	1232	0
Java	metadata.read	NIRHTa-001.ome.tiff	182	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1257	1248	1248	0
Java	metadata.read	NIRHTa-001.ome.tiff	183	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1243	1248	1248	0
Java	metadata.read	NIRHTa-001.ome.tiff	181	187	187	0
Java	metadata.write	NIRHTa-001.ome.tiff	1265	1263	1263	0
Java	metadata.read	NIRHTa-001.ome.tiff	177	171	171	0
Java	metadata.write	NIRHTa-001.ome.tiff	1276	1279	1279	0
