test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	NIRHTa-001.ome.tiff	6870	4360	2360
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2300	2070	140
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	4570	2290	2220
C++	pixeldata.write	NIRHTa-001.ome.tiff	32760	6400	26010
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1570	1520	30
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	30060	3820	25910
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1130	1060	70
C++	pixeldata.read	NIRHTa-001.ome.tiff	5940	4720	1170
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2180	2080	100
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3760	2640	1070
C++	pixeldata.write	NIRHTa-001.ome.tiff	30750	6140	23780
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1520	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	28120	3560	23710
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1060	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5780	4740	1000
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2130	2050	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3650	2690	920
C++	pixeldata.write	NIRHTa-001.ome.tiff	31400	6170	24610
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1530	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	28730	3550	24560
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1140	1100	40
C++	pixeldata.read	NIRHTa-001.ome.tiff	5730	4870	810
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2190	2120	70
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3540	2750	740
C++	pixeldata.write	NIRHTa-001.ome.tiff	30810	6250	23970
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1530	1530	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	28160	3630	23930
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1120	1090	40
C++	pixeldata.read	NIRHTa-001.ome.tiff	5560	4730	790
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2160	2060	100
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3400	2670	690
C++	pixeldata.write	NIRHTa-001.ome.tiff	29480	6160	23300
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1530	1530	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	26810	3560	23220
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1140	1070	70
C++	pixeldata.read	NIRHTa-001.ome.tiff	5650	4690	910
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2130	2050	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3520	2640	830
C++	pixeldata.write	NIRHTa-001.ome.tiff	29640	6180	23380
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1540	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	26920	3590	23310
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1180	1070	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5850	4650	1150
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2150	2070	90
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3700	2580	1060
C++	pixeldata.write	NIRHTa-001.ome.tiff	29740	6080	23630
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1540	1520	20
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	27060	3490	23550
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1140	1070	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5780	4750	980
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2140	2060	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3640	2690	900
C++	pixeldata.write	NIRHTa-001.ome.tiff	31420	6090	25310
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1520	1510	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	28790	3520	25250
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1060	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5860	4840	970
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2180	2100	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3680	2740	890
C++	pixeldata.write	NIRHTa-001.ome.tiff	29890	6150	23720
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1520	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	27240	3580	23630
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1140	1050	90
C++	pixeldata.read	NIRHTa-001.ome.tiff	5530	4790	700
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2170	2100	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3360	2690	620
C++	pixeldata.write	NIRHTa-001.ome.tiff	29630	6070	23530
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1530	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	26980	3480	23480
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1120	1070	40
C++	pixeldata.read	NIRHTa-001.ome.tiff	5860	4870	940
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2170	2080	100
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3690	2790	840
C++	pixeldata.write	NIRHTa-001.ome.tiff	29830	6120	23690
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1520	0
