test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	NIRHTa-001.ome.tiff	110141	106850	110140	153390	11650
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	2754	2754	2750	4760	180
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	107386	104095	107390	148630	11470
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4211778	4189625	4211780	2745380	1745100
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	15	15	10	20	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4207965	4185829	4207970	2740850	1744080
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3798	3781	3800	4510	1020
JACE	pixeldata.read	NIRHTa-001.ome.tiff	108216	106294	108220	131790	8880
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	1432	1432	1430	3130	130
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106783	104862	106790	128660	8750
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4241825	4220130	4241830	2769250	1759580
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	0	0	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4238664	4216995	4238670	2766780	1758290
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3156	3130	3160	2470	1290
JACE	pixeldata.read	NIRHTa-001.ome.tiff	108682	106387	108690	136640	9010
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	997	998	1000	1010	120
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	107684	105388	107690	135630	8890
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4197708	4173788	4197710	2812090	1706310
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	0	0	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4194664	4170772	4194670	2809440	1705210
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3039	3011	3040	2650	1100
JACE	pixeldata.read	NIRHTa-001.ome.tiff	107336	105465	107330	128090	9570
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	950	951	950	860	110
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106386	104514	106380	127230	9460
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4199025	4176741	4199020	2765280	1721760
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	0	0	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4196062	4173800	4196060	2763100	1720620
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	2959	2937	2960	2180	1140
JACE	pixeldata.read	NIRHTa-001.ome.tiff	107998	105762	108000	134930	8970
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	952	953	960	960	110
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	107045	104808	107040	133970	8860
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4231081	4209484	4231080	2767640	1759850
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	10	0	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4228101	4206528	4228100	2765520	1758580
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	2975	2951	2970	2120	1270
JACE	pixeldata.read	NIRHTa-001.ome.tiff	107318	105687	107320	124570	9000
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	1022	977	1020	1330	530
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106295	104710	106300	123240	8470
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4202602	4175393	4202600	2829770	1702870
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	0	0	10
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4199579	4172397	4199580	2827350	1701790
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3018	2991	3020	2420	1070
