test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	NIRHTa-001.ome.tiff	111173	107446	97060	10386
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	2499	2441	2310	131
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	108673	105005	94750	10255
Java	pixeldata.write	NIRHTa-001.ome.tiff	77531	76278	61520	14758
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	15	15	10	4
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	73577	72364	58630	13734
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3938	3898	2880	1018
Java	pixeldata.read	NIRHTa-001.ome.tiff	107416	105653	95980	9673
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1256	1221	1110	111
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106159	104431	94870	9562
Java	pixeldata.write	NIRHTa-001.ome.tiff	77509	75435	60790	14645
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	7	7	0	7
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	73884	72016	58530	13486
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3617	3411	2260	1151
Java	pixeldata.read	NIRHTa-001.ome.tiff	106526	104688	95370	9318
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	826	825	740	85
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105699	103862	94630	9232
Java	pixeldata.write	NIRHTa-001.ome.tiff	75822	74508	59970	14538
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	10	-5
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	72546	71310	57870	13440
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3271	3193	2090	1103
Java	pixeldata.read	NIRHTa-001.ome.tiff	106870	105060	95790	9260
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	779	780	680	100
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106090	104280	95110	9160
Java	pixeldata.write	NIRHTa-001.ome.tiff	75631	74582	60120	14462
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	4	0	4
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	72453	71419	58080	13339
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3173	3159	2040	1119
Java	pixeldata.read	NIRHTa-001.ome.tiff	107161	104875	96010	8866
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	767	768	670	98
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	106393	104107	95340	8767
Java	pixeldata.write	NIRHTa-001.ome.tiff	74859	74373	60210	14163
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	3	3	10	-6
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71700	71229	58140	13089
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3154	3140	2060	1080
Java	pixeldata.read	NIRHTa-001.ome.tiff	106081	104285	95250	9035
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	795	794	690	104
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105285	103491	94560	8931
Java	pixeldata.write	NIRHTa-001.ome.tiff	74297	74047	59990	14057
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	3	3	10	-6
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71165	70920	57920	13001
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3128	3122	2060	1062
Java	pixeldata.read	NIRHTa-001.ome.tiff	105632	104403	95460	8943
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	761	762	670	92
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104870	103641	94790	8851
Java	pixeldata.write	NIRHTa-001.ome.tiff	75145	74471	60020	14451
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	3	3	10	-6
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71775	71115	57860	13255
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3366	3352	2150	1202
Java	pixeldata.read	NIRHTa-001.ome.tiff	105372	104081	95360	8721
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	787	785	670	116
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104584	103295	94690	8605
Java	pixeldata.write	NIRHTa-001.ome.tiff	76457	74581	60020	14561
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	3	3	0	3
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	73167	71304	57900	13404
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3286	3273	2120	1153
Java	pixeldata.read	NIRHTa-001.ome.tiff	105301	104017	95410	8607
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	782	783	660	123
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104519	103234	94750	8484
Java	pixeldata.write	NIRHTa-001.ome.tiff	74907	74328	59860	14468
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	0	2
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71774	71200	57820	13380
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3130	3125	2040	1085
Java	pixeldata.read	NIRHTa-001.ome.tiff	105630	104720	95190	9530
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	751	750	650	100
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104879	103970	94540	9430
Java	pixeldata.write	NIRHTa-001.ome.tiff	75289	74136	59880	14256
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	10	-7
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	72228	71101	57820	13281
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3058	3032	2050	982
Java	pixeldata.read	NIRHTa-001.ome.tiff	106617	105414	96020	9394
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	737	738	630	108
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105880	104676	95390	9286
Java	pixeldata.write	NIRHTa-001.ome.tiff	75421	74633	59740	14893
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	72272	71494	57690	13804
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3146	3136	2050	1086
Java	pixeldata.read	NIRHTa-001.ome.tiff	105886	104503	95380	9123
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	749	750	660	90
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105136	103753	94720	9033
Java	pixeldata.write	NIRHTa-001.ome.tiff	74643	74230	59960	14270
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71490	71082	57890	13192
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3151	3145	2070	1075
Java	pixeldata.read	NIRHTa-001.ome.tiff	105177	104303	95550	8753
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	742	743	640	103
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104434	103559	94910	8649
Java	pixeldata.write	NIRHTa-001.ome.tiff	74491	73919	59880	14039
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71406	70849	57840	13009
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3083	3068	2040	1028
Java	pixeldata.read	NIRHTa-001.ome.tiff	106089	104815	95620	9195
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	736	735	640	95
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105353	104080	94980	9100
Java	pixeldata.write	NIRHTa-001.ome.tiff	74965	74323	60010	14313
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71828	71191	57930	13261
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3135	3130	2080	1050
Java	pixeldata.read	NIRHTa-001.ome.tiff	104635	103912	95030	8883
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	721	721	610	111
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	103914	103191	94420	8771
Java	pixeldata.write	NIRHTa-001.ome.tiff	74754	73830	59550	14280
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71668	70756	57520	13236
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3084	3071	2030	1041
Java	pixeldata.read	NIRHTa-001.ome.tiff	104791	103749	94910	8839
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	735	736	610	126
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104055	103012	94300	8712
Java	pixeldata.write	NIRHTa-001.ome.tiff	76195	74834	60580	14254
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	73074	71750	58640	13110
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3118	3081	1940	1141
Java	pixeldata.read	NIRHTa-001.ome.tiff	105194	104278	95220	9059
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	732	733	620	113
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	104461	103545	94600	8945
Java	pixeldata.write	NIRHTa-001.ome.tiff	74962	74288	59840	14448
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	0	2
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71830	71198	57890	13308
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3129	3087	1950	1137
Java	pixeldata.read	NIRHTa-001.ome.tiff	106232	104635	95350	9285
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	751	752	630	122
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105481	103883	94720	9163
Java	pixeldata.write	NIRHTa-001.ome.tiff	74786	74205	59790	14415
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	0	2
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71718	71171	57800	13371
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3064	3031	1990	1041
Java	pixeldata.read	NIRHTa-001.ome.tiff	105811	104173	94980	9194
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	727	728	630	98
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105084	103445	94350	9095
Java	pixeldata.write	NIRHTa-001.ome.tiff	74971	74068	60010	14058
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	2	10	-7
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71844	70947	57900	13047
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3124	3119	2100	1019
Java	pixeldata.read	NIRHTa-001.ome.tiff	106083	105233	95840	9393
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	747	748	650	98
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105335	104485	95190	9295
Java	pixeldata.write	NIRHTa-001.ome.tiff	74757	73979	59770	14209
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	1	0	1
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	71650	70884	57720	13164
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3105	3093	2050	1043
