test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	NIRHTa-001.ome.tiff	15855	7394	8455
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4584	3712	873
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11271	3681	7581
C++	pixeldata.write	NIRHTa-001.ome.tiff	86063	13150	72914
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1733	1731	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	82839	9952	72883
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1491	1466	31
C++	pixeldata.read	NIRHTa-001.ome.tiff	15806	7550	8252
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4573	3728	842
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11233	3822	7410
C++	pixeldata.write	NIRHTa-001.ome.tiff	87381	14040	73226
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1733	1716	15
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	84130	10826	73195
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1518	1497	15
C++	pixeldata.read	NIRHTa-001.ome.tiff	15896	7534	8346
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4571	3510	1060
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11325	4024	7285
C++	pixeldata.write	NIRHTa-001.ome.tiff	91412	17440	73928
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1739	1731	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	88134	14227	73866
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1539	1482	62
C++	pixeldata.read	NIRHTa-001.ome.tiff	15921	7831	8034
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4591	3759	826
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11330	4071	7207
C++	pixeldata.write	NIRHTa-001.ome.tiff	94318	21060	73226
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1763	1747	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	90988	17846	73117
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1567	1466	109
C++	pixeldata.read	NIRHTa-001.ome.tiff	15969	7285	8642
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4595	3478	1107
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11374	3806	7534
C++	pixeldata.write	NIRHTa-001.ome.tiff	98335	24648	73273
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1770	1778	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	94744	21340	73242
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1821	1528	31
C++	pixeldata.read	NIRHTa-001.ome.tiff	16155	7332	8782
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4604	3463	1138
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11551	3868	7644
C++	pixeldata.write	NIRHTa-001.ome.tiff	100940	26504	74412
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1780	1778	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	97574	23166	74381
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1586	1560	31
C++	pixeldata.read	NIRHTa-001.ome.tiff	16211	7706	8502
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4605	3681	920
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11606	4024	7581
C++	pixeldata.write	NIRHTa-001.ome.tiff	101903	28454	73273
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1785	1778	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	98544	25116	73258
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1574	1560	15
C++	pixeldata.read	NIRHTa-001.ome.tiff	16178	7410	8767
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4591	3447	1138
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11587	3962	7628
C++	pixeldata.write	NIRHTa-001.ome.tiff	104693	30981	73710
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1769	1762	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	101333	27690	73648
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1591	1528	62
C++	pixeldata.read	NIRHTa-001.ome.tiff	16343	7815	8517
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4587	3650	936
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11756	4165	7581
C++	pixeldata.write	NIRHTa-001.ome.tiff	107254	34538	72649
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1778	1778	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	103862	31184	72602
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1614	1575	46
C++	pixeldata.read	NIRHTa-001.ome.tiff	16792	8158	8642
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4610	3588	1029
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	12182	4570	7612
C++	pixeldata.write	NIRHTa-001.ome.tiff	112274	38220	74053
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1786	1778	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	108863	34897	73975
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1625	1544	78
C++	pixeldata.read	NIRHTa-001.ome.tiff	16668	8361	8268
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4606	3744	858
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	12062	4617	7410
C++	pixeldata.write	NIRHTa-001.ome.tiff	115419	42697	72665
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1839	1840	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	111941	39343	72540
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1639	1513	124
C++	pixeldata.read	NIRHTa-001.ome.tiff	16828	8658	8174
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4585	3603	982
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	12243	5054	7191
