test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	NIRHTa-001.ome.tiff	162725	158887	104895	53991
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	3479	3432	2496	936
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	159245	155454	102399	53055
Java	pixeldata.write	NIRHTa-001.ome.tiff	188408	100839	69436	31403
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	12	15	15	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	183191	95659	66534	29125
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5204	5163	2886	2277
Java	pixeldata.read	NIRHTa-001.ome.tiff	157046	155205	102071	53133
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	2020	2012	1294	717
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155026	153192	100776	52416
Java	pixeldata.write	NIRHTa-001.ome.tiff	180448	99154	68266	30888
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	6	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	175469	94427	65738	28688
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4972	4726	2527	2199
Java	pixeldata.read	NIRHTa-001.ome.tiff	157253	155049	101619	53430
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1696	1684	982	702
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155557	153364	100636	52728
Java	pixeldata.write	NIRHTa-001.ome.tiff	178726	98904	67564	31340
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	15	15	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	174331	94536	65380	29156
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4390	4352	2168	2184
Java	pixeldata.read	NIRHTa-001.ome.tiff	157018	154206	103038	51168
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1636	1638	764	873
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155382	152568	102274	50294
Java	pixeldata.write	NIRHTa-001.ome.tiff	175737	98530	67782	30747
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170848	94084	65660	28423
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4884	4446	2121	2324
Java	pixeldata.read	NIRHTa-001.ome.tiff	156180	153926	101619	52307
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1629	1638	967	670
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	154551	152288	100651	51636
Java	pixeldata.write	NIRHTa-001.ome.tiff	175411	98733	68172	30560
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170431	93990	65926	28064
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4976	4742	2246	2496
Java	pixeldata.read	NIRHTa-001.ome.tiff	156777	154862	102508	52353
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1656	1669	889	780
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155121	153192	101619	51573
Java	pixeldata.write	NIRHTa-001.ome.tiff	174847	98826	67829	30997
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	15	15	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170004	94224	65676	28548
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4838	4586	2137	2449
Java	pixeldata.read	NIRHTa-001.ome.tiff	157011	154784	102633	52151
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1651	1653	936	717
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155360	153130	101697	51433
Java	pixeldata.write	NIRHTa-001.ome.tiff	174393	98265	68094	30170
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	4	15	15	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	169469	93912	65848	28064
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4919	4336	2230	2106
Java	pixeldata.read	NIRHTa-001.ome.tiff	154987	153754	102274	51480
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1659	1622	967	655
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	153328	152132	101307	50825
Java	pixeldata.write	NIRHTa-001.ome.tiff	176586	99372	68624	30747
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171439	94677	65957	28719
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5143	4695	2667	2028
Java	pixeldata.read	NIRHTa-001.ome.tiff	156980	154347	101712	52634
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1572	1575	811	764
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155408	152771	100901	51870
Java	pixeldata.write	NIRHTa-001.ome.tiff	176576	98779	67673	31106
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171921	94365	65520	28844
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4652	4414	2152	2262
Java	pixeldata.read	NIRHTa-001.ome.tiff	157110	155236	102757	52478
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1601	1606	826	780
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155508	153629	101931	51698
Java	pixeldata.write	NIRHTa-001.ome.tiff	175249	98670	67813	30856
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170602	94084	65614	28470
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4645	4586	2199	2386
Java	pixeldata.read	NIRHTa-001.ome.tiff	154980	153801	101650	52151
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1572	1575	842	733
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	153407	152225	100807	51417
Java	pixeldata.write	NIRHTa-001.ome.tiff	176392	98904	67860	31044
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171255	94240	65442	28797
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5135	4664	2418	2246
Java	pixeldata.read	NIRHTa-001.ome.tiff	156035	153941	101650	52291
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1588	1591	842	748
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	154446	152350	100807	51542
Java	pixeldata.write	NIRHTa-001.ome.tiff	175241	99107	68266	30841
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170167	94255	65645	28610
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5071	4851	2620	2230
Java	pixeldata.read	NIRHTa-001.ome.tiff	157942	155205	102648	52556
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1566	1575	826	748
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	156376	153629	101821	51807
Java	pixeldata.write	NIRHTa-001.ome.tiff	176273	99435	68078	31356
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171646	94848	66004	28844
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4624	4586	2074	2511
Java	pixeldata.read	NIRHTa-001.ome.tiff	156405	155283	103397	51885
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1603	1591	858	733
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	154802	153692	102539	51152
Java	pixeldata.write	NIRHTa-001.ome.tiff	176031	98577	68110	30466
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171543	94271	65988	28282
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4486	4305	2121	2184
Java	pixeldata.read	NIRHTa-001.ome.tiff	156989	154160	101743	52416
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1591	1591	858	733
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155398	152568	100885	51683
Java	pixeldata.write	NIRHTa-001.ome.tiff	176518	99591	67252	32339
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	171220	94801	64912	29889
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5296	4789	2340	2449
Java	pixeldata.read	NIRHTa-001.ome.tiff	155399	154144	100995	53149
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1603	1606	858	748
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	153795	152537	100137	52400
Java	pixeldata.write	NIRHTa-001.ome.tiff	174806	98811	67252	31559
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170398	94474	65130	29343
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4406	4336	2121	2215
Java	pixeldata.read	NIRHTa-001.ome.tiff	156717	154503	101338	53165
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1575	1575	951	624
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155142	152927	100386	52541
Java	pixeldata.write	NIRHTa-001.ome.tiff	178297	100464	69077	31387
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	172358	94630	65816	28813
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5937	5834	3260	2574
Java	pixeldata.read	NIRHTa-001.ome.tiff	158434	155376	103257	52119
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1593	1591	811	780
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	156840	153785	102445	51339
Java	pixeldata.write	NIRHTa-001.ome.tiff	174965	98889	67985	30903
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	2	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	170094	94630	65676	28953
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	4869	4258	2308	1950
Java	pixeldata.read	NIRHTa-001.ome.tiff	155926	153910	101915	51995
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1564	1560	889	670
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	154362	152350	101026	51324
Java	pixeldata.write	NIRHTa-001.ome.tiff	177937	99201	68125	31075
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	172714	94427	65910	28516
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5221	4773	2215	2558
Java	pixeldata.read	NIRHTa-001.ome.tiff	157406	153988	102055	51932
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	1589	1591	920	670
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	155816	152397	101135	51261
Java	pixeldata.write	NIRHTa-001.ome.tiff	178095	99201	67891	31309
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	1	0	0	0
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	172893	94848	65754	29094
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	5200	4352	2137	2215
