test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	00001_01.ome.tiff	2600	2380	140
C++	metadata.write	00001_01.ome.tiff	1740	1720	20
C++	metadata.read	00001_01.ome.tiff	2370	2340	30
C++	metadata.write	00001_01.ome.tiff	1730	1720	20
C++	metadata.read	00001_01.ome.tiff	2340	2320	20
C++	metadata.write	00001_01.ome.tiff	1730	1720	10
C++	metadata.read	00001_01.ome.tiff	2310	2300	10
C++	metadata.write	00001_01.ome.tiff	1760	1740	20
C++	metadata.read	00001_01.ome.tiff	2320	2310	10
C++	metadata.write	00001_01.ome.tiff	1730	1730	0
C++	metadata.read	00001_01.ome.tiff	2380	2360	30
C++	metadata.write	00001_01.ome.tiff	1730	1720	10
C++	metadata.read	00001_01.ome.tiff	2320	2330	0
C++	metadata.write	00001_01.ome.tiff	1750	1740	10
C++	metadata.read	00001_01.ome.tiff	2340	2330	0
C++	metadata.write	00001_01.ome.tiff	1740	1730	10
C++	metadata.read	00001_01.ome.tiff	2420	2340	80
C++	metadata.write	00001_01.ome.tiff	1700	1700	10
C++	metadata.read	00001_01.ome.tiff	2300	2300	0
C++	metadata.write	00001_01.ome.tiff	1730	1720	10
C++	metadata.read	00001_01.ome.tiff	2290	2290	10
C++	metadata.write	00001_01.ome.tiff	1700	1690	0
C++	metadata.read	00001_01.ome.tiff	2290	2290	0
C++	metadata.write	00001_01.ome.tiff	1720	1720	10
C++	metadata.read	00001_01.ome.tiff	2300	2300	10
C++	metadata.write	00001_01.ome.tiff	1750	1750	0
C++	metadata.read	00001_01.ome.tiff	2350	2330	20
C++	metadata.write	00001_01.ome.tiff	1770	1770	0
C++	metadata.read	00001_01.ome.tiff	2340	2330	0
C++	metadata.write	00001_01.ome.tiff	1720	1720	10
C++	metadata.read	00001_01.ome.tiff	2330	2330	0
C++	metadata.write	00001_01.ome.tiff	1680	1680	10
C++	metadata.read	00001_01.ome.tiff	2320	2320	0
C++	metadata.write	00001_01.ome.tiff	1710	1690	30
C++	metadata.read	00001_01.ome.tiff	2300	2300	0
C++	metadata.write	00001_01.ome.tiff	1670	1670	0
C++	metadata.read	00001_01.ome.tiff	2320	2320	10
C++	metadata.write	00001_01.ome.tiff	1680	1680	0
C++	metadata.read	00001_01.ome.tiff	2320	2310	20
C++	metadata.write	00001_01.ome.tiff	1660	1650	0
