test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	metadata.read	00001_01.ome.tiff	1248	1224	1250	2670	180
JACE	metadata.write	00001_01.ome.tiff	8568	8043	8570	12620	680
JACE	metadata.read	00001_01.ome.tiff	371	325	370	1150	30
JACE	metadata.write	00001_01.ome.tiff	3493	3339	3490	6000	50
JACE	metadata.read	00001_01.ome.tiff	296	261	300	700	10
JACE	metadata.write	00001_01.ome.tiff	3288	3093	3290	6000	140
JACE	metadata.read	00001_01.ome.tiff	290	253	290	700	20
JACE	metadata.write	00001_01.ome.tiff	3230	3042	3230	5810	100
JACE	metadata.read	00001_01.ome.tiff	286	250	280	650	10
JACE	metadata.write	00001_01.ome.tiff	3227	3046	3230	5770	30
JACE	metadata.read	00001_01.ome.tiff	282	246	280	680	10
JACE	metadata.write	00001_01.ome.tiff	3215	3035	3220	5750	10
JACE	metadata.read	00001_01.ome.tiff	279	245	280	680	10
JACE	metadata.write	00001_01.ome.tiff	3211	3027	3210	5780	20
JACE	metadata.read	00001_01.ome.tiff	284	247	280	690	10
JACE	metadata.write	00001_01.ome.tiff	3201	3020	3210	5740	20
JACE	metadata.read	00001_01.ome.tiff	280	246	280	650	10
JACE	metadata.write	00001_01.ome.tiff	3201	3015	3200	5710	20
JACE	metadata.read	00001_01.ome.tiff	284	245	280	720	20
JACE	metadata.write	00001_01.ome.tiff	3204	3025	3210	5640	20
JACE	metadata.read	00001_01.ome.tiff	282	246	280	650	10
JACE	metadata.write	00001_01.ome.tiff	3263	3084	3260	5720	30
JACE	metadata.read	00001_01.ome.tiff	281	246	280	650	20
JACE	metadata.write	00001_01.ome.tiff	3267	3086	3270	5810	20
JACE	metadata.read	00001_01.ome.tiff	281	245	280	670	10
JACE	metadata.write	00001_01.ome.tiff	3264	3078	3270	5880	20
JACE	metadata.read	00001_01.ome.tiff	281	246	280	650	20
JACE	metadata.write	00001_01.ome.tiff	3251	3068	3250	5740	10
JACE	metadata.read	00001_01.ome.tiff	278	245	280	630	10
JACE	metadata.write	00001_01.ome.tiff	3269	3093	3270	5730	30
JACE	metadata.read	00001_01.ome.tiff	278	245	280	640	10
JACE	metadata.write	00001_01.ome.tiff	3285	3112	3280	5730	20
JACE	metadata.read	00001_01.ome.tiff	279	246	280	640	10
JACE	metadata.write	00001_01.ome.tiff	3277	3102	3280	5750	20
JACE	metadata.read	00001_01.ome.tiff	286	252	290	640	10
JACE	metadata.write	00001_01.ome.tiff	3266	3087	3260	5730	20
JACE	metadata.read	00001_01.ome.tiff	280	245	280	660	10
JACE	metadata.write	00001_01.ome.tiff	3273	3094	3280	5750	30
JACE	metadata.read	00001_01.ome.tiff	281	246	280	660	10
JACE	metadata.write	00001_01.ome.tiff	3269	3091	3270	5710	20
