test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	00001_01.ome.tiff	1053	1027	1010	7
Java	metadata.write	00001_01.ome.tiff	5584	5381	5350	31
Java	metadata.read	00001_01.ome.tiff	376	351	320	31
Java	metadata.write	00001_01.ome.tiff	4109	4111	4090	21
Java	metadata.read	00001_01.ome.tiff	268	268	260	8
Java	metadata.write	00001_01.ome.tiff	3899	3879	3870	9
Java	metadata.read	00001_01.ome.tiff	261	261	260	1
Java	metadata.write	00001_01.ome.tiff	3841	3820	3810	10
Java	metadata.read	00001_01.ome.tiff	255	255	250	5
Java	metadata.write	00001_01.ome.tiff	3817	3800	3800	0
Java	metadata.read	00001_01.ome.tiff	252	252	250	2
Java	metadata.write	00001_01.ome.tiff	3793	3796	3790	6
Java	metadata.read	00001_01.ome.tiff	264	252	250	2
Java	metadata.write	00001_01.ome.tiff	3728	3731	3730	1
Java	metadata.read	00001_01.ome.tiff	276	255	250	6
Java	metadata.write	00001_01.ome.tiff	3718	3721	3720	1
Java	metadata.read	00001_01.ome.tiff	275	253	250	3
Java	metadata.write	00001_01.ome.tiff	3723	3727	3730	-2
Java	metadata.read	00001_01.ome.tiff	265	251	250	1
Java	metadata.write	00001_01.ome.tiff	3728	3732	3720	12
Java	metadata.read	00001_01.ome.tiff	249	249	250	0
Java	metadata.write	00001_01.ome.tiff	3732	3727	3730	-2
Java	metadata.read	00001_01.ome.tiff	249	249	240	9
Java	metadata.write	00001_01.ome.tiff	3773	3762	3760	2
Java	metadata.read	00001_01.ome.tiff	249	250	250	0
Java	metadata.write	00001_01.ome.tiff	3761	3746	3740	6
Java	metadata.read	00001_01.ome.tiff	248	248	240	8
Java	metadata.write	00001_01.ome.tiff	3745	3731	3730	1
Java	metadata.read	00001_01.ome.tiff	248	248	250	-1
Java	metadata.write	00001_01.ome.tiff	3736	3728	3730	-1
Java	metadata.read	00001_01.ome.tiff	265	248	240	8
Java	metadata.write	00001_01.ome.tiff	3723	3727	3720	7
Java	metadata.read	00001_01.ome.tiff	261	249	250	0
Java	metadata.write	00001_01.ome.tiff	3733	3736	3730	6
Java	metadata.read	00001_01.ome.tiff	258	253	250	3
Java	metadata.write	00001_01.ome.tiff	3646	3650	3640	10
Java	metadata.read	00001_01.ome.tiff	265	257	260	-2
Java	metadata.write	00001_01.ome.tiff	3610	3602	3590	12
Java	metadata.read	00001_01.ome.tiff	248	249	250	0
Java	metadata.write	00001_01.ome.tiff	3582	3577	3580	-2
