test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	00001_01.ome.tiff	3314	3260	62
C++	metadata.write	00001_01.ome.tiff	2190	2121	62
C++	metadata.read	00001_01.ome.tiff	3272	3198	78
C++	metadata.write	00001_01.ome.tiff	2177	2137	46
C++	metadata.read	00001_01.ome.tiff	3294	3229	62
C++	metadata.write	00001_01.ome.tiff	2234	2106	124
C++	metadata.read	00001_01.ome.tiff	3315	3276	31
C++	metadata.write	00001_01.ome.tiff	2240	2199	46
C++	metadata.read	00001_01.ome.tiff	3334	3229	109
C++	metadata.write	00001_01.ome.tiff	2225	2152	62
C++	metadata.read	00001_01.ome.tiff	3335	3307	15
C++	metadata.write	00001_01.ome.tiff	2240	2184	62
C++	metadata.read	00001_01.ome.tiff	3325	3276	46
C++	metadata.write	00001_01.ome.tiff	2226	2074	140
C++	metadata.read	00001_01.ome.tiff	3333	3291	31
C++	metadata.write	00001_01.ome.tiff	2241	2199	46
C++	metadata.read	00001_01.ome.tiff	3319	3276	46
C++	metadata.write	00001_01.ome.tiff	2235	2121	109
C++	metadata.read	00001_01.ome.tiff	3316	3291	15
C++	metadata.write	00001_01.ome.tiff	2243	2184	62
C++	metadata.read	00001_01.ome.tiff	3328	3260	62
C++	metadata.write	00001_01.ome.tiff	2217	2168	46
C++	metadata.read	00001_01.ome.tiff	3324	3291	46
C++	metadata.write	00001_01.ome.tiff	2237	2199	31
C++	metadata.read	00001_01.ome.tiff	3330	3260	78
C++	metadata.write	00001_01.ome.tiff	2231	2184	46
C++	metadata.read	00001_01.ome.tiff	3326	3260	62
C++	metadata.write	00001_01.ome.tiff	2239	2230	15
C++	metadata.read	00001_01.ome.tiff	3334	3276	62
C++	metadata.write	00001_01.ome.tiff	2216	2152	62
C++	metadata.read	00001_01.ome.tiff	3327	3291	46
C++	metadata.write	00001_01.ome.tiff	2240	2184	46
C++	metadata.read	00001_01.ome.tiff	3327	3244	78
C++	metadata.write	00001_01.ome.tiff	2223	2152	62
C++	metadata.read	00001_01.ome.tiff	3330	3291	31
C++	metadata.write	00001_01.ome.tiff	2243	2230	15
C++	metadata.read	00001_01.ome.tiff	3324	3276	46
C++	metadata.write	00001_01.ome.tiff	2221	2184	31
C++	metadata.read	00001_01.ome.tiff	3318	3322	0
C++	metadata.write	00001_01.ome.tiff	2232	2215	15
