test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	00001_01.ome.tiff	1189	1138	1107	31
Java	metadata.write	00001_01.ome.tiff	6531	6333	6318	15
Java	metadata.read	00001_01.ome.tiff	354	358	358	0
Java	metadata.write	00001_01.ome.tiff	5087	5054	5054	0
Java	metadata.read	00001_01.ome.tiff	305	296	296	0
Java	metadata.write	00001_01.ome.tiff	4746	4742	4726	15
Java	metadata.read	00001_01.ome.tiff	288	280	280	0
Java	metadata.write	00001_01.ome.tiff	3839	3806	3806	0
Java	metadata.read	00001_01.ome.tiff	286	296	296	0
Java	metadata.write	00001_01.ome.tiff	4695	4695	4695	0
Java	metadata.read	00001_01.ome.tiff	316	280	280	0
Java	metadata.write	00001_01.ome.tiff	4646	4648	4633	15
Java	metadata.read	00001_01.ome.tiff	344	280	280	0
Java	metadata.write	00001_01.ome.tiff	4705	4695	4695	0
Java	metadata.read	00001_01.ome.tiff	295	296	280	15
Java	metadata.write	00001_01.ome.tiff	4674	4617	4617	0
Java	metadata.read	00001_01.ome.tiff	296	296	296	0
Java	metadata.write	00001_01.ome.tiff	4679	4617	4617	0
Java	metadata.read	00001_01.ome.tiff	295	296	296	0
Java	metadata.write	00001_01.ome.tiff	4717	4664	4664	0
Java	metadata.read	00001_01.ome.tiff	285	296	296	0
Java	metadata.write	00001_01.ome.tiff	4730	4695	4695	0
Java	metadata.read	00001_01.ome.tiff	284	280	280	0
Java	metadata.write	00001_01.ome.tiff	4737	4726	4726	0
Java	metadata.read	00001_01.ome.tiff	296	296	296	0
Java	metadata.write	00001_01.ome.tiff	4654	4633	4633	0
Java	metadata.read	00001_01.ome.tiff	296	296	296	0
Java	metadata.write	00001_01.ome.tiff	4647	4648	4648	0
Java	metadata.read	00001_01.ome.tiff	295	296	280	15
Java	metadata.write	00001_01.ome.tiff	4668	4648	4633	15
Java	metadata.read	00001_01.ome.tiff	296	296	280	15
Java	metadata.write	00001_01.ome.tiff	4714	4711	4695	15
Java	metadata.read	00001_01.ome.tiff	283	280	280	0
Java	metadata.write	00001_01.ome.tiff	4755	4742	4742	0
Java	metadata.read	00001_01.ome.tiff	298	280	280	0
Java	metadata.write	00001_01.ome.tiff	4606	4602	4602	0
Java	metadata.read	00001_01.ome.tiff	290	280	280	0
Java	metadata.write	00001_01.ome.tiff	4636	4633	4633	0
Java	metadata.read	00001_01.ome.tiff	293	280	280	0
Java	metadata.write	00001_01.ome.tiff	3846	3822	3822	0
