test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	00001_01.ome.tiff	2490	2360	130
C++	pixeldata.read.init	00001_01.ome.tiff	2380	2290	90
C++	pixeldata.read.pixels	00001_01.ome.tiff	110	70	40
C++	pixeldata.write	00001_01.ome.tiff	3730	3290	380
C++	pixeldata.write.init	00001_01.ome.tiff	1670	1500	110
C++	pixeldata.write.pixels	00001_01.ome.tiff	170	50	120
C++	pixeldata.write.close	00001_01.ome.tiff	1890	1740	150
C++	pixeldata.read	00001_01.ome.tiff	2550	2390	160
C++	pixeldata.read.init	00001_01.ome.tiff	2450	2330	120
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	60	40
C++	pixeldata.write	00001_01.ome.tiff	3530	3280	260
C++	pixeldata.write.init	00001_01.ome.tiff	1590	1500	100
C++	pixeldata.write.pixels	00001_01.ome.tiff	170	60	110
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2460	2410	50
C++	pixeldata.read.init	00001_01.ome.tiff	2350	2330	30
C++	pixeldata.read.pixels	00001_01.ome.tiff	110	80	20
C++	pixeldata.write	00001_01.ome.tiff	3420	3250	170
C++	pixeldata.write.init	00001_01.ome.tiff	1490	1490	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	40	110
C++	pixeldata.write.close	00001_01.ome.tiff	1780	1720	60
C++	pixeldata.read	00001_01.ome.tiff	2400	2350	50
C++	pixeldata.read.init	00001_01.ome.tiff	2300	2280	20
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	70	30
C++	pixeldata.write	00001_01.ome.tiff	3390	3240	160
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1470	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	50	100
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	60
C++	pixeldata.read	00001_01.ome.tiff	2360	2330	20
C++	pixeldata.read.init	00001_01.ome.tiff	2270	2270	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	60	20
C++	pixeldata.write	00001_01.ome.tiff	3380	3240	160
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1480	10
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2370	2350	20
C++	pixeldata.read.init	00001_01.ome.tiff	2270	2280	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	70	20
C++	pixeldata.write	00001_01.ome.tiff	3380	3240	140
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1480	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	50	90
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1710	50
C++	pixeldata.read	00001_01.ome.tiff	2400	2330	60
C++	pixeldata.read.init	00001_01.ome.tiff	2290	2270	20
C++	pixeldata.read.pixels	00001_01.ome.tiff	110	60	40
C++	pixeldata.write	00001_01.ome.tiff	3400	3250	160
C++	pixeldata.write.init	00001_01.ome.tiff	1490	1490	10
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2360	2340	30
C++	pixeldata.read.init	00001_01.ome.tiff	2260	2270	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	70	30
C++	pixeldata.write	00001_01.ome.tiff	3380	3250	140
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1480	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	50	90
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2340	2320	20
C++	pixeldata.read.init	00001_01.ome.tiff	2250	2250	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	70	20
C++	pixeldata.write	00001_01.ome.tiff	3390	3240	150
C++	pixeldata.write.init	00001_01.ome.tiff	1480	1470	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	140	50	100
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2410	2360	50
C++	pixeldata.read.init	00001_01.ome.tiff	2310	2290	20
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	70	30
C++	pixeldata.write	00001_01.ome.tiff	3410	3230	180
C++	pixeldata.write.init	00001_01.ome.tiff	1490	1480	10
C++	pixeldata.write.pixels	00001_01.ome.tiff	140	30	110
C++	pixeldata.write.close	00001_01.ome.tiff	1780	1720	60
C++	pixeldata.read	00001_01.ome.tiff	2350	2330	20
C++	pixeldata.read.init	00001_01.ome.tiff	2260	2250	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	80	20
C++	pixeldata.write	00001_01.ome.tiff	3400	3240	160
C++	pixeldata.write.init	00001_01.ome.tiff	1480	1480	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	60
C++	pixeldata.read	00001_01.ome.tiff	2350	2320	30
C++	pixeldata.read.init	00001_01.ome.tiff	2260	2260	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	60	30
C++	pixeldata.write	00001_01.ome.tiff	3390	3250	130
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1480	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	50	90
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	40
C++	pixeldata.read	00001_01.ome.tiff	2350	2320	30
C++	pixeldata.read.init	00001_01.ome.tiff	2260	2260	10
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	60	20
C++	pixeldata.write	00001_01.ome.tiff	3380	3220	160
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1480	0
