test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	00001_01.ome.tiff	2964	2895	2960	5120	810
JACE	pixeldata.read.init	00001_01.ome.tiff	1632	1631	1630	3180	60
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1331	1264	1330	1940	750
JACE	pixeldata.write	00001_01.ome.tiff	6945	6765	6950	9390	1910
JACE	pixeldata.write.init	00001_01.ome.tiff	5	5	10	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	5038	4861	5040	5780	1850
JACE	pixeldata.write.close	00001_01.ome.tiff	1901	1898	1900	3610	60
JACE	pixeldata.read	00001_01.ome.tiff	1558	1501	1560	2150	730
JACE	pixeldata.read.init	00001_01.ome.tiff	436	436	440	740	50
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1121	1064	1120	1410	680
JACE	pixeldata.write	00001_01.ome.tiff	5374	5306	5370	5750	1050
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4450	4382	4450	4800	1010
JACE	pixeldata.write.close	00001_01.ome.tiff	923	924	920	950	40
JACE	pixeldata.read	00001_01.ome.tiff	1333	1332	1330	1240	100
JACE	pixeldata.read.init	00001_01.ome.tiff	341	341	340	320	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	991	991	990	920	80
JACE	pixeldata.write	00001_01.ome.tiff	5380	5269	5380	5730	1570
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4444	4337	4450	4770	1520
JACE	pixeldata.write.close	00001_01.ome.tiff	935	931	930	960	50
JACE	pixeldata.read	00001_01.ome.tiff	1330	1330	1330	1820	140
JACE	pixeldata.read.init	00001_01.ome.tiff	342	343	350	660	30
JACE	pixeldata.read.pixels	00001_01.ome.tiff	988	987	980	1160	110
JACE	pixeldata.write	00001_01.ome.tiff	5469	5370	5470	5740	1430
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4527	4435	4530	4720	1390
JACE	pixeldata.write.close	00001_01.ome.tiff	941	934	940	1020	40
JACE	pixeldata.read	00001_01.ome.tiff	1331	1331	1340	2140	120
