test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	00001_01.ome.tiff	2855	2733	2550	183
Java	pixeldata.read.init	00001_01.ome.tiff	1558	1525	1490	35
Java	pixeldata.read.pixels	00001_01.ome.tiff	1296	1207	1060	147
Java	pixeldata.write	00001_01.ome.tiff	4565	4538	4080	458
Java	pixeldata.write.init	00001_01.ome.tiff	4	4	10	-5
Java	pixeldata.write.pixels	00001_01.ome.tiff	2857	2831	2410	421
Java	pixeldata.write.close	00001_01.ome.tiff	1704	1702	1660	42
Java	pixeldata.read	00001_01.ome.tiff	1421	1381	1210	171
Java	pixeldata.read.init	00001_01.ome.tiff	454	415	400	15
Java	pixeldata.read.pixels	00001_01.ome.tiff	966	966	810	156
Java	pixeldata.write	00001_01.ome.tiff	3622	3568	3180	388
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2619	2565	2220	345
Java	pixeldata.write.close	00001_01.ome.tiff	1002	1002	960	42
Java	pixeldata.read	00001_01.ome.tiff	1300	1259	1170	89
Java	pixeldata.read.init	00001_01.ome.tiff	331	331	320	12
Java	pixeldata.read.pixels	00001_01.ome.tiff	968	927	850	77
Java	pixeldata.write	00001_01.ome.tiff	3496	3497	3130	367
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2521	2521	2230	291
Java	pixeldata.write.close	00001_01.ome.tiff	974	975	900	75
Java	pixeldata.read	00001_01.ome.tiff	1422	1377	1090	287
Java	pixeldata.read.init	00001_01.ome.tiff	360	361	300	61
Java	pixeldata.read.pixels	00001_01.ome.tiff	1061	1015	790	225
Java	pixeldata.write	00001_01.ome.tiff	3678	3448	3130	318
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2747	2517	2240	277
Java	pixeldata.write.close	00001_01.ome.tiff	929	930	890	40
Java	pixeldata.read	00001_01.ome.tiff	1278	1279	1170	109
Java	pixeldata.read.init	00001_01.ome.tiff	337	338	330	8
Java	pixeldata.read.pixels	00001_01.ome.tiff	940	940	840	100
Java	pixeldata.write	00001_01.ome.tiff	3451	3419	3100	319
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2527	2494	2220	274
Java	pixeldata.write.close	00001_01.ome.tiff	923	923	880	43
Java	pixeldata.read	00001_01.ome.tiff	1268	1269	1170	99
Java	pixeldata.read.init	00001_01.ome.tiff	336	336	320	16
Java	pixeldata.read.pixels	00001_01.ome.tiff	932	932	850	82
Java	pixeldata.write	00001_01.ome.tiff	3462	3464	3100	364
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2485	2486	2230	256
Java	pixeldata.write.close	00001_01.ome.tiff	976	977	870	107
Java	pixeldata.read	00001_01.ome.tiff	1416	1371	990	381
Java	pixeldata.read.init	00001_01.ome.tiff	350	351	300	51
Java	pixeldata.read.pixels	00001_01.ome.tiff	1065	1020	690	330
Java	pixeldata.write	00001_01.ome.tiff	3419	3421	3130	291
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	10	-9
Java	pixeldata.write.pixels	00001_01.ome.tiff	2494	2495	2220	275
Java	pixeldata.write.close	00001_01.ome.tiff	924	925	900	25
Java	pixeldata.read	00001_01.ome.tiff	1243	1244	1120	124
Java	pixeldata.read.init	00001_01.ome.tiff	323	323	300	23
Java	pixeldata.read.pixels	00001_01.ome.tiff	920	920	820	100
Java	pixeldata.write	00001_01.ome.tiff	3392	3395	3090	305
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2479	2481	2210	271
Java	pixeldata.write.close	00001_01.ome.tiff	912	913	880	33
Java	pixeldata.read	00001_01.ome.tiff	1291	1252	1150	102
Java	pixeldata.read.init	00001_01.ome.tiff	325	326	310	16
Java	pixeldata.read.pixels	00001_01.ome.tiff	965	925	840	85
Java	pixeldata.write	00001_01.ome.tiff	3402	3404	3110	294
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2478	2480	2210	270
Java	pixeldata.write.close	00001_01.ome.tiff	923	924	900	24
Java	pixeldata.read	00001_01.ome.tiff	1247	1247	1140	107
Java	pixeldata.read.init	00001_01.ome.tiff	329	329	310	19
Java	pixeldata.read.pixels	00001_01.ome.tiff	917	917	830	87
Java	pixeldata.write	00001_01.ome.tiff	3399	3402	3100	302
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	2480	2482	2210	272
Java	pixeldata.write.close	00001_01.ome.tiff	918	919	890	29
Java	pixeldata.read	00001_01.ome.tiff	1286	1286	1090	196
Java	pixeldata.read.init	00001_01.ome.tiff	322	322	300	22
Java	pixeldata.read.pixels	00001_01.ome.tiff	964	964	790	174
Java	pixeldata.write	00001_01.ome.tiff	3550	3553	3010	533
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
