test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	00001_01.ome.tiff	3576	3354	234
C++	pixeldata.read.init	00001_01.ome.tiff	3373	3322	62
C++	pixeldata.read.pixels	00001_01.ome.tiff	203	31	171
C++	pixeldata.write	00001_01.ome.tiff	4453	4212	234
C++	pixeldata.write.init	00001_01.ome.tiff	1747	1700	46
C++	pixeldata.write.pixels	00001_01.ome.tiff	126	46	78
C++	pixeldata.write.close	00001_01.ome.tiff	2580	2464	109
C++	pixeldata.read	00001_01.ome.tiff	3765	3572	202
C++	pixeldata.read.init	00001_01.ome.tiff	3563	3494	78
C++	pixeldata.read.pixels	00001_01.ome.tiff	202	78	124
C++	pixeldata.write	00001_01.ome.tiff	4474	4305	171
C++	pixeldata.write.init	00001_01.ome.tiff	1747	1731	15
C++	pixeldata.write.pixels	00001_01.ome.tiff	125	46	78
C++	pixeldata.write.close	00001_01.ome.tiff	2602	2527	78
C++	pixeldata.read	00001_01.ome.tiff	3606	3416	187
C++	pixeldata.read.init	00001_01.ome.tiff	3403	3338	62
C++	pixeldata.read.pixels	00001_01.ome.tiff	203	78	124
C++	pixeldata.write	00001_01.ome.tiff	4482	4336	156
C++	pixeldata.write.init	00001_01.ome.tiff	1751	1747	15
C++	pixeldata.write.pixels	00001_01.ome.tiff	130	46	78
C++	pixeldata.write.close	00001_01.ome.tiff	2601	2542	62
C++	pixeldata.read	00001_01.ome.tiff	3778	3650	124
C++	pixeldata.read.init	00001_01.ome.tiff	3576	3510	62
C++	pixeldata.read.pixels	00001_01.ome.tiff	202	140	62
C++	pixeldata.write	00001_01.ome.tiff	4490	4352	140
C++	pixeldata.write.init	00001_01.ome.tiff	1753	1762	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	117	31	78
C++	pixeldata.write.close	00001_01.ome.tiff	2620	2558	62
C++	pixeldata.read	00001_01.ome.tiff	3619	3432	187
C++	pixeldata.read.init	00001_01.ome.tiff	3429	3354	78
C++	pixeldata.read.pixels	00001_01.ome.tiff	190	78	109
C++	pixeldata.write	00001_01.ome.tiff	4391	4290	93
C++	pixeldata.write.init	00001_01.ome.tiff	1726	1716	0
