test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	00001_01.ome.tiff	3259	3104	2652	452
Java	pixeldata.read.init	00001_01.ome.tiff	1679	1653	1560	93
Java	pixeldata.read.pixels	00001_01.ome.tiff	1579	1450	1092	358
Java	pixeldata.write	00001_01.ome.tiff	6935	5257	4602	655
Java	pixeldata.write.init	00001_01.ome.tiff	4	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	4118	3354	2776	577
Java	pixeldata.write.close	00001_01.ome.tiff	2813	1903	1825	78
Java	pixeldata.read	00001_01.ome.tiff	1837	1794	1388	405
Java	pixeldata.read.init	00001_01.ome.tiff	495	483	421	62
Java	pixeldata.read.pixels	00001_01.ome.tiff	1342	1310	967	343
Java	pixeldata.write	00001_01.ome.tiff	7252	4383	3697	686
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	6116	3244	2605	639
Java	pixeldata.write.close	00001_01.ome.tiff	1135	1138	1092	46
Java	pixeldata.read	00001_01.ome.tiff	1767	1716	1216	499
Java	pixeldata.read.init	00001_01.ome.tiff	457	452	374	78
Java	pixeldata.read.pixels	00001_01.ome.tiff	1310	1263	842	421
Java	pixeldata.write	00001_01.ome.tiff	9404	4274	3525	748
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	7909	3166	2527	639
Java	pixeldata.write.close	00001_01.ome.tiff	1494	1107	998	109
Java	pixeldata.read	00001_01.ome.tiff	2133	2028	1388	639
Java	pixeldata.read.init	00001_01.ome.tiff	485	468	343	124
Java	pixeldata.read.pixels	00001_01.ome.tiff	1647	1560	1045	514
Java	pixeldata.write	00001_01.ome.tiff	5363	4056	3400	655
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	3975	3042	2418	624
Java	pixeldata.write.close	00001_01.ome.tiff	1388	1014	982	31
Java	pixeldata.read	00001_01.ome.tiff	1712	1716	1263	452
Java	pixeldata.read.init	00001_01.ome.tiff	447	452	358	93
Java	pixeldata.read.pixels	00001_01.ome.tiff	1264	1263	904	358
Java	pixeldata.write	00001_01.ome.tiff	9460	4118	3478	639
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	8453	3120	2527	592
Java	pixeldata.write.close	00001_01.ome.tiff	1006	998	951	46
Java	pixeldata.read	00001_01.ome.tiff	1684	1684	1341	343
Java	pixeldata.read.init	00001_01.ome.tiff	434	436	343	93
Java	pixeldata.read.pixels	00001_01.ome.tiff	1250	1248	998	249
Java	pixeldata.write	00001_01.ome.tiff	4887	4071	3541	530
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	3675	3010	2542	468
Java	pixeldata.write.close	00001_01.ome.tiff	1211	1060	998	62
Java	pixeldata.read	00001_01.ome.tiff	2141	2137	1388	748
Java	pixeldata.read.init	00001_01.ome.tiff	479	483	374	109
Java	pixeldata.read.pixels	00001_01.ome.tiff	1662	1653	1014	639
Java	pixeldata.write	00001_01.ome.tiff	8648	4258	3572	686
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	6787	3198	2620	577
Java	pixeldata.write.close	00001_01.ome.tiff	1861	1060	951	109
Java	pixeldata.read	00001_01.ome.tiff	1748	1747	1279	468
Java	pixeldata.read.init	00001_01.ome.tiff	445	436	343	93
Java	pixeldata.read.pixels	00001_01.ome.tiff	1303	1310	936	374
Java	pixeldata.write	00001_01.ome.tiff	6433	4165	3478	686
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	4386	3088	2496	592
Java	pixeldata.write.close	00001_01.ome.tiff	2046	1076	982	93
Java	pixeldata.read	00001_01.ome.tiff	1746	1747	1372	374
Java	pixeldata.read.init	00001_01.ome.tiff	445	436	343	93
Java	pixeldata.read.pixels	00001_01.ome.tiff	1301	1310	1029	280
Java	pixeldata.write	00001_01.ome.tiff	5000	4102	3447	655
Java	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0
Java	pixeldata.write.pixels	00001_01.ome.tiff	3967	3073	2480	592
Java	pixeldata.write.close	00001_01.ome.tiff	1033	1029	967	62
Java	pixeldata.read	00001_01.ome.tiff	1690	1700	1310	390
Java	pixeldata.read.init	00001_01.ome.tiff	425	436	343	93
