test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	280	100	10
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	100	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	80	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	100	10
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	80	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	100	100	10
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	100	100	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	80	80	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	90	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	90	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	90	80	10
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	80	90	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	80	80	10
