test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	657	606	660	1330	10
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	1133	928	1130	2360	30
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	91	78	90	350	10
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	417	415	420	1230	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	33	33	40	100	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	95	95	90	180	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	30	30	30	90	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	81	81	80	200	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	32	24	30	120	30
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	63	63	70	90	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	23	23	20	30	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	66	66	70	100	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	22	22	20	40	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	55	55	60	170	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	29	22	30	130	10
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	55	55	50	120	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	22	22	20	50	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	52	52	60	60	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	18	18	10	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	52	52	60	70	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	23	17	20	80	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	52	52	50	70	10
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	17	17	20	30	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	50	50	50	100	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	20	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	40	40	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	23	16	30	100	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	40	50	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	20	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	50	40	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	10	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	48	48	50	40	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	22	16	20	90	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	47	46	50	50	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	20	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	40	60	0
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	20	20	0
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	50	60	10
JACE	metadata.read	tubhiswt_C0_TP0.ome.tif	23	16	20	90	10
JACE	metadata.write	tubhiswt_C0_TP0.ome.tif	39	38	40	40	0
