test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	526	481	480	1
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	1162	957	940	17
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	63	63	60	3
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	408	374	370	4
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	30	30	30	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	107	106	110	-3
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	28	28	30	-1
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	68	68	60	8
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	21	21	30	-8
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	51	51	50	1
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	20	20	20	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	54	53	50	4
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	19	19	20	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	47	47	50	-2
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	20	20	20	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	43	43	40	3
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	20	20	20	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	43	43	40	3
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	16	16	20	-3
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	41	41	40	1
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	20	-4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	42	42	30	12
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	20	-4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	40	40	40	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	14	14	10	4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	37	37	40	-2
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	10	5
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	38	38	40	-1
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	10	5
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	38	38	40	-1
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	10	5
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	38	38	40	-1
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	14	14	10	4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	37	37	40	-2
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	14	14	10	4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	39	39	40	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	14	14	10	4
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	39	39	30	9
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	15	15	20	-3
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	38	38	30	8
