test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	183	171	15
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	93	15
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	134	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	93	15
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	124	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	124	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	124	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	124	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	109	31
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	113	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	93	15
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	124	15
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	124	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	93	31
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	124	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	124	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	124	15
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	115	93	15
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	136	124	15
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	109	0
C++	metadata.read	tubhiswt_C0_TP0.ome.tif	135	140	0
C++	metadata.write	tubhiswt_C0_TP0.ome.tif	114	93	15
