test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	549	530	530	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	1246	967	936	31
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	66	62	62	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	435	436	421	15
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	36	46	46	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	111	109	109	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	25	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	75	78	78	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	24	31	31	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	59	62	62	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	23	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	84	62	62	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	21	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	48	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	21	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	47	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	19	31	31	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	46	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	45	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	43	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	16	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	40	31	31	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	42	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	18	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	42	46	31	15
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	41	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	16	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	39	46	31	15
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	39	31	31	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	16	15	15	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	39	46	46	0
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	17	15	0	15
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	87	46	31	15
