test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	570	400	170
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	180	160	20
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	390	240	150
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	780	280	490
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	70	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	610	130	480
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	100	10
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	530	410	110
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	370	260	100
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	800	290	510
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	60	50	10
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	640	150	490
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	10
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	470	410	50
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	310	260	40
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	770	300	460
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	60	60	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	610	150	460
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	500	430	60
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	340	280	50
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	770	300	460
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	60	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	610	160	450
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	10
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	470	410	60
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	310	260	50
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	780	310	460
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	50	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	630	170	460
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	480	420	60
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	320	270	50
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	760	290	460
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	60	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	600	150	460
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	470	410	50
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	310	260	40
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	750	310	440
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	50	60	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	600	160	440
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	490	420	70
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	170	150	20
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	320	270	50
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	730	290	430
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	50	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	580	150	420
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	10
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	450	400	50
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	160	150	10
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	290	250	40
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	730	270	450
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	50	50	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	580	130	440
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	100	90	10
