test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4402	4228	4400	7620	1050
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	843	843	840	1790	40
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3558	3384	3560	5830	1010
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	42316	41742	42320	30410	15880
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	5	5	10	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41568	41015	41570	28710	15760
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	742	720	740	1700	120
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3267	3199	3270	4590	560
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	179	179	180	380	20
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3088	3020	3090	4210	540
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41238	40523	41230	27450	15880
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	40986	40274	40980	27250	15820
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	251	248	250	200	60
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3174	3078	3170	4500	660
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	142	142	140	230	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3031	2935	3030	4270	650
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41887	41371	41890	27540	16220
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41617	41105	41620	27310	16140
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	269	266	270	230	80
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3136	3069	3130	4080	620
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	95	95	90	240	20
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3041	2974	3040	3840	600
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41765	41095	41760	27070	16260
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41516	40849	41510	26850	16190
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	248	245	250	220	70
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3139	3081	3140	3480	440
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	93	93	90	90	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3045	2987	3050	3390	430
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41903	41225	41910	27200	16390
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41658	40983	41660	26940	16320
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	244	241	250	260	70
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3169	3064	3170	4070	500
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	91	91	90	90	0
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3078	2972	3080	3980	500
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39873	39355	39870	26260	15190
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	39664	39147	39660	26090	15150
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	207	208	210	170	40
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3122	3059	3120	3650	470
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	93	93	90	160	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3029	2966	3030	3490	460
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41667	40985	41670	26520	16520
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41430	40747	41430	26340	16450
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	237	237	240	180	70
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3153	3064	3150	3600	440
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	94	94	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3058	2969	3060	3520	430
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41891	41403	41900	27240	16410
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	10	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41672	41187	41670	27070	16340
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	218	215	220	170	70
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3074	3007	3070	3500	460
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	88	89	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2985	2918	2980	3420	450
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	40437	39940	40440	26350	16000
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	40199	39701	40200	26180	15920
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	238	238	240	170	80
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3125	3037	3130	3600	430
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	92	92	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3032	2944	3040	3520	420
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	41680	41058	41680	27320	16100
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41467	40844	41460	27170	16040
