test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	5740	3952	3260	692
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	1194	740	710	30
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4545	3211	2550	661
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	7151	7101	5430	1671
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	3	3	0	3
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6494	6445	4850	1595
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	653	651	580	71
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3069	3007	2340	667
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	144	144	140	4
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2925	2863	2200	663
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6368	6327	4800	1527
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6122	6081	4630	1451
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	245	245	170	75
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2886	2881	2300	581
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	120	120	120	0
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2766	2761	2180	581
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6344	6296	4670	1626
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6104	6057	4500	1557
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	238	238	170	68
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2761	2715	2280	435
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	69	69	60	9
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2691	2645	2220	425
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6143	6144	4690	1454
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	5929	5929	4540	1389
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	213	214	150	64
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2959	2956	2080	876
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	58	58	50	8
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2900	2897	2030	867
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6384	6295	4760	1535
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6152	6063	4610	1453
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	231	231	150	81
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2706	2702	2260	442
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	53	53	50	3
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2652	2649	2210	439
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6284	6252	4730	1522
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6071	6039	4580	1459
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	212	212	150	62
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2626	2623	2210	413
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	47	47	40	7
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2578	2575	2170	405
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6164	6144	4680	1464
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	5959	5940	4540	1400
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	204	204	140	64
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2627	2624	2190	434
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	41	41	40	1
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2586	2583	2150	433
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6189	6143	4650	1493
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	5984	5938	4510	1428
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	204	204	140	64
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2602	2598	2160	438
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	39	39	30	9
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2562	2559	2130	429
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6188	6171	4700	1471
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	5964	5947	4550	1397
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	223	223	150	73
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	2680	2677	2220	457
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	39	39	40	0
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2640	2637	2180	457
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	6180	6163	4650	1513
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	5975	5958	4510	1448
