test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1159	499	655
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	402	280	124
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	757	218	530
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2018	421	1575
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	65	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1802	234	1575
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	151	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1114	608	514
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	363	265	93
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	751	343	421
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2027	514	1513
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1834	312	1513
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	140	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1109	561	546
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	360	280	93
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	749	280	452
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	1998	374	1606
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1807	187	1606
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	129	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1110	514	592
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	265	93
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	749	249	499
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	1996	452	1544
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	61	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1805	265	1544
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	130	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1113	608	499
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	327	31
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	752	280	468
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	1999	421	1575
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1807	234	1575
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	130	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1112	608	499
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	359	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	753	358	390
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2004	390	1622
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1812	202	1622
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	130	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1114	499	608
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	362	234	124
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	752	265	483
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2021	436	1591
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	63	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1826	265	1560
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	132	109	31
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1119	561	546
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	363	280	78
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	756	280	468
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	1995	405	1591
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1802	218	1591
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1108	483	624
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	747	234	514
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2002	390	1606
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	61	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1810	202	1606
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1106	577	530
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	360	265	93
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	746	312	436
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2004	421	1591
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1810	218	1591
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	132	140	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1108	561	546
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	747	312	436
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2005	358	1653
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1810	187	1622
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	133	109	31
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1125	639	468
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	362	312	46
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	763	327	421
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2019	514	1497
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	63	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1825	327	1497
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1115	608	514
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	360	327	31
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	755	280	483
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2033	483	1513
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	63	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1837	296	1497
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	133	124	15
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1120	499	624
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	362	265	93
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	758	234	530
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2010	390	1606
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1816	218	1591
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	132	109	15
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1113	608	514
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	752	358	405
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2020	546	1435
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	63	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1824	358	1435
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	133	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1133	592	530
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	296	62
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	772	296	468
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2007	452	1544
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	46	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1813	280	1544
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	132	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1115	468	655
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	361	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	754	218	546
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2011	312	1684
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	63	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1817	124	1684
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1110	546	561
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	359	249	109
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	751	296	452
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2008	374	1606
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	61	46	15
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1816	218	1575
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	109	15
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1111	577	546
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	359	280	78
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	752	296	468
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2010	436	1560
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1817	249	1560
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	131	124	0
C++	pixeldata.read	tubhiswt_C0_TP0.ome.tif	1110	514	592
C++	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	359	312	46
C++	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	751	202	546
C++	pixeldata.write	tubhiswt_C0_TP0.ome.tif	2008	452	1544
C++	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	62	62	0
C++	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	1813	265	1544
C++	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	133	124	0
