test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	5649	5460	3681	1778
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	870	858	733	124
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4779	4602	2948	1653
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17374	9859	5990	3868
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	4	15	15	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16547	9016	5304	3712
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	822	826	670	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	5004	4882	2979	1903
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	200	202	156	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4804	4680	2823	1856
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16955	8673	5163	3510
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16597	8314	4976	3338
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	357	358	187	171
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4386	4383	2464	1918
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	174	171	93	78
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4212	4212	2371	1840
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16827	9079	5522	3556
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16486	8736	5382	3354
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	340	343	140	202
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4340	4243	2511	1731
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	119	124	78	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4221	4118	2433	1684
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17247	8533	5038	3494
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16941	8236	4929	3307
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	305	296	109	187
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4635	4633	2636	1996
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	104	109	46	62
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4531	4524	2589	1934
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16464	8829	5382	3447
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16163	8517	5179	3338
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	301	312	202	109
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4199	4196	2761	1435
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	96	93	31	62
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4103	4102	2730	1372
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17124	8673	5335	3338
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16816	8361	5101	3260
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	307	312	234	78
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4183	4180	2667	1513
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	91	93	62	31
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4091	4087	2605	1482
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16862	8455	5210	3244
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16516	8158	5070	3088
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	345	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4174	4180	2574	1606
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	85	93	31	62
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4089	4087	2542	1544
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16955	8611	5085	3525
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16658	8314	4929	3385
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	296	296	156	140
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4187	4165	2277	1887
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	83	78	31	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4103	4087	2246	1840
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17416	8658	5179	3478
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	17119	8361	5038	3322
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	296	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4186	4165	2355	1809
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	80	78	15	62
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4106	4087	2340	1747
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16659	8580	4992	3588
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16363	8283	4851	3432
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	295	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4205	4180	2761	1419
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	80	93	62	31
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4125	4087	2698	1388
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16842	8424	5101	3322
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16547	8127	4960	3166
